#---Header
EC or Barrel: EC
Module type: R5M0
Module ref. Number: 20USE5R0000002
Date: 2022-02-24T13:54:42.000000Z
Institute: TRIUMF
Operator: Peter Speers
Instrument Type: Mitutoyo CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R5H0_P1	4.9750	52.6696
H_R5H0_P2	94.0689	55.3035
PB_P1	51.8104	37.6683
PB_P2	95.4285	21.1345
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	1.5579	1.1688	0.0106
Sensor	1	3.7128	36.7447	-0.0002
Sensor	1	5.0639	58.5647	-0.0115
Sensor	1	7.9744	99.5787	0.0051
Sensor	1	46.9177	98.4349	0.0085
Sensor	1	92.1012	99.5494	0.0063
Sensor	1	93.7998	59.4858	-0.0020
Sensor	1	95.4180	11.8565	-0.0059
Sensor	1	95.3723	1.3010	0.0053
Sensor	1	50.7102	0.5563	0.0057
Sensor	1	57.5919	24.0663	-0.0047
Sensor	1	89.0520	59.1034	-0.0014
Sensor	1	78.9918	58.8277	-0.0037
Sensor	1	69.1156	58.6410	-0.0021
Sensor	1	58.9215	58.3308	-0.0004
Sensor	1	48.9597	58.4205	0.0007
Sensor	1	38.9727	58.3927	-0.0016
Sensor	1	29.1673	58.7929	-0.0011
Sensor	1	19.0105	59.0290	-0.0029
Sensor	1	8.8792	59.4309	-0.0046
ABC_R5H0_10	2	8.4480	49.0124	0.4185
ABC_R5H0_2	2	88.7652	49.1570	0.3999
ABC_R5H0_3	2	78.8218	48.7679	0.4053
ABC_R5H0_4	2	68.7213	48.4822	0.4137
ABC_R5H0_5	2	58.6239	48.3193	0.4103
ABC_R5H0_6	2	49.2333	48.2756	0.4041
ABC_R5H0_7	2	39.1571	48.3130	0.4111
ABC_R5H0_8	2	29.0319	48.4580	0.4175
ABC_R5H0_9	2	18.9335	48.7208	0.4180
H_R5H0_0	2	3.5428	40.0581	0.3918
H_R5H0_1	2	56.0836	41.3087	0.4854
H_R5H0_2	2	73.3100	42.6799	0.3941
PB_1	2	93.0732	27.3279	0.3746
PB_2	2	80.8895	38.8123	0.4450
PB_3	2	56.0830	38.0200	0.3465
PB_4	2	57.2217	27.7827	0.3734
PB_5	2	30.8712	29.8008	0.4954
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	88.8431	15.9192	3.0461
C2	4	92.5076	15.8029	2.9512
C3	4	87.9046	30.1284	2.8309
C4	4	89.2346	33.4576	2.7983
C5	4	75.1928	36.9603	2.8590
C6	4	75.3856	28.2402	2.8763
C7	4	75.7913	24.1029	2.8533
C8	4	75.8902	14.7683	3.0276
Shield	4	40.4543	29.7969	5.4815
