#---Header
EC or Barrel: EC
Module type: R1
Module ref. Number: 20USEM10000006
Date: 2022-02-24T13:54:42.000000Z
Institute: TRIUMF
Operator: Peter Speers
Instrument Type: Mitutoyo CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R1H0_P1	8.0275	58.3626
H_R1H0_P2	108.6535	61.1506
H_R1H1_P1	3.6503	20.5062
H_R1H1_P2	111.7857	23.1213
PB_P1	70.9132	44.7046
PB_P2	107.2815	33.6694
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	1.5363	1.2842	0.0092
Sensor	1	64.0387	-0.9959	-0.0018
Sensor	1	112.6735	1.7303	0.0067
Sensor	1	112.6535	16.9435	-0.0007
Sensor	1	107.2103	16.1541	-0.0026
Sensor	1	98.6342	15.4165	-0.0026
Sensor	1	87.4488	14.4885	-0.0027
Sensor	1	77.7714	14.0269	0.0010
Sensor	1	67.1653	13.7666	0.0018
Sensor	1	57.6473	13.6026	-0.0013
Sensor	1	47.9148	13.7684	-0.0013
Sensor	1	37.9337	14.0536	-0.0001
Sensor	1	26.5932	14.6549	-0.0008
Sensor	1	16.8402	15.4122	-0.0017
Sensor	1	6.8638	16.1623	-0.0043
Sensor	1	6.3122	41.0808	0.0000
Sensor	1	13.0062	64.5716	-0.0021
Sensor	1	23.6448	63.6887	-0.0031
Sensor	1	33.6540	63.3554	-0.0019
Sensor	1	43.1705	63.2798	0.0020
Sensor	1	53.4753	63.1396	0.0032
Sensor	1	63.2851	62.9476	0.0024
Sensor	1	73.1388	63.1832	0.0013
Sensor	1	83.2613	63.2933	-0.0026
Sensor	1	93.5471	63.9365	-0.0023
Sensor	1	104.0409	64.8957	-0.0037
Sensor	1	106.6500	82.8565	0.0063
Sensor	1	11.9775	82.1160	0.0016
ABC_R1H0_1	2	104.4440	59.4971	0.3676
ABC_R1H0_10	2	12.5528	59.2589	0.3790
ABC_R1H0_2	2	94.2994	58.6758	0.3721
ABC_R1H0_3	2	84.1351	58.0425	0.3752
ABC_R1H0_4	2	73.9694	57.6102	0.3775
ABC_R1H0_5	2	63.7784	57.3879	0.3776
ABC_R1H0_6	2	53.5970	57.3555	0.3781
ABC_R1H0_7	2	43.4018	57.5344	0.3861
ABC_R1H0_8	2	33.1976	57.9046	0.3820
ABC_R1H0_9	2	23.0166	58.4796	0.3806
ABC_R1H1_0	2	8.0864	21.4006	0.3977
ABC_R1H1_1	2	18.0269	20.5978	0.4111
ABC_R1H1_10	2	107.4914	21.4684	0.3851
ABC_R1H1_2	2	27.9668	19.9693	0.4016
ABC_R1H1_3	2	37.9213	19.5329	0.4118
ABC_R1H1_4	2	47.8669	19.2700	0.4104
ABC_R1H1_5	2	57.8306	19.1838	0.4106
ABC_R1H1_6	2	67.7722	19.2871	0.4097
ABC_R1H1_7	2	77.7326	19.5635	0.4086
ABC_R1H1_8	2	87.6656	20.0115	0.3949
ABC_R1H1_9	2	97.5957	20.6500	0.3917
HCC_R1H0_4	2	16.2208	47.0387	0.3654
HCC_R1H1_5	2	14.5903	32.8121	0.3841
H_R1H0_0	2	6.9670	46.6780	0.3794
H_R1H0_1	2	76.0203	47.7305	0.3967
H_R1H0_2	2	103.5986	50.0319	0.4496
H_R1H1_0	2	5.2612	33.6006	0.3598
H_R1H1_1	2	77.2248	29.3670	0.4401
H_R1H1_2	2	106.5091	30.6403	0.4349
PB_1	2	108.8358	39.7669	0.4191
PB_2	2	94.0505	45.2724	0.4120
PB_3	2	75.9360	45.7377	0.4381
PB_4	2	76.9370	32.0344	0.3920
PB_5	2	49.8854	37.0952	0.4198
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	102.5265	38.4263	2.8935
C2	4	104.6023	45.4282	3.0149
C3	4	89.8886	43.0529	2.8752
C4	4	90.3808	34.4932	2.8440
Shield	4	59.5800	37.0577	5.3145
