#---Header
EC or Barrel: EC
Module type: R1
Module ref. Number: 20USEM10000008
Date: 2022-07-12T17:41:01.088768Z
Institute: SFU
Operator: Peter Speers
Instrument Type: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R1H0_P1	8.0311	58.4619
H_R1H0_P2	108.6551	61.3010
H_R1H1_P1	3.5837	20.5448
H_R1H1_P2	111.7001	23.1431
PB_P1	70.9379	44.7854
PB_P2	107.2962	33.7428
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	13.5418	63.6939	0.0027
Sensor	1	24.2837	62.8692	0.0031
Sensor	1	34.0970	62.2863	-0.0009
Sensor	1	44.1400	61.8952	-0.0015
Sensor	1	54.3518	62.5454	-0.0038
Sensor	1	64.0203	62.2202	-0.0019
Sensor	1	74.1655	62.0661	-0.0018
Sensor	1	83.5296	62.8552	0.0002
Sensor	1	94.5313	63.9284	0.0012
Sensor	1	104.1460	64.6519	0.0019
Sensor	1	107.6728	16.6584	0.0028
Sensor	1	97.8572	16.2193	0.0034
Sensor	1	86.8472	15.4414	-0.0003
Sensor	1	77.2234	14.4909	-0.0021
Sensor	1	67.4543	14.6999	-0.0007
Sensor	1	57.5708	14.2691	-0.0029
Sensor	1	48.0212	14.7056	-0.0026
Sensor	1	37.4911	15.2935	-0.0022
Sensor	1	27.4877	15.7260	0.0009
Sensor	1	17.2721	16.2593	0.0029
Sensor	1	7.7505	17.2412	0.0015
ABC_R1H0_1	2	104.3945	59.5926	0.3625
ABC_R1H0_10	2	12.5150	59.3486	0.3747
ABC_R1H0_10_A	2	16.9688	60.2519	0.3792
ABC_R1H0_10_B	2	16.7650	57.6816	0.3767
ABC_R1H0_10_C	2	8.0132	58.4539	0.3745
ABC_R1H0_10_D	2	8.3130	61.0072	0.3684
ABC_R1H0_1_A	2	108.6178	61.2650	0.3582
ABC_R1H0_1_B	2	108.8743	58.7137	0.3577
ABC_R1H0_1_C	2	100.1336	57.9288	0.3666
ABC_R1H0_1_D	2	99.9521	60.4629	0.3676
ABC_R1H0_2	2	94.2936	58.7848	0.3708
ABC_R1H0_2_A	2	98.5338	60.3639	0.3749
ABC_R1H0_2_B	2	98.7551	57.7980	0.3724
ABC_R1H0_2_C	2	89.9882	57.2130	0.3638
ABC_R1H0_2_D	2	89.8971	59.7645	0.3719
ABC_R1H0_3	2	84.1184	58.1509	0.3749
