#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000014
Date: 2022-03-08T13:55:58.000000Z
Institute: TRIUMF
Operator: Peter Speers
Instrument Type: Mitutoyo CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1704	23.1942
H_R2H0_P2	124.1721	25.8096
PB_P1	81.8072	10.5080
PB_P2	122.2904	1.0829
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	1.1952	0.8928	0.0518
Sensor	1	10.6685	1.8699	0.0113
Sensor	1	22.6463	0.8388	0.0052
Sensor	1	59.2400	-1.2870	0.0120
Sensor	1	125.1048	14.1838	0.0553
Sensor	1	87.4955	11.9071	0.0152
Sensor	1	9.5070	29.0006	-0.0051
Sensor	1	19.8985	27.9054	-0.0153
Sensor	1	29.8020	27.1863	-0.0195
Sensor	1	39.9343	26.8167	-0.0258
Sensor	1	49.7123	26.5462	-0.0294
Sensor	1	59.6230	26.7406	-0.0329
Sensor	1	70.2762	26.5943	-0.0299
Sensor	1	79.9176	27.1333	-0.0301
Sensor	1	89.0832	27.4005	-0.0238
Sensor	1	99.2837	27.7563	-0.0209
Sensor	1	109.6469	28.7068	-0.0091
Sensor	1	119.0148	29.4234	-0.0006
Sensor	1	121.0647	60.4549	0.0455
Sensor	1	8.4136	60.9042	0.0460
ABC_R2H0_0	2	124.2789	24.5168	0.4265
ABC_R2H0_1	2	114.2356	23.6274	0.3990
ABC_R2H0_10	2	23.1448	22.8883	0.3891
ABC_R2H0_11	2	13.0189	23.6604	0.3944
ABC_R2H0_2	2	104.1406	22.8787	0.4016
ABC_R2H0_3	2	94.0468	22.3011	0.4010
ABC_R2H0_4	2	83.9332	21.8747	0.3829
ABC_R2H0_5	2	73.8144	21.6216	0.3704
ABC_R2H0_6	2	63.6824	21.5380	0.3731
ABC_R2H0_7	2	53.5364	21.6285	0.3784
ABC_R2H0_8	2	43.4159	21.8937	0.3792
ABC_R2H0_9	2	33.2947	22.3158	0.3871
HCC_R2H0_0	2	9.3192	11.5039	0.4005
HCC_R2H0_1	2	19.6612	6.8927	0.3840
H_R2H0_0	2	2.8719	10.7473	0.3056
H_R2H0_1	2	87.5816	12.8397	0.4431
H_R2H0_2	2	117.7355	16.3700	0.4344
PB_1	2	123.6888	3.1110	0.5012
PB_2	2	122.1310	12.8282	0.3277
PB_3	2	87.0540	10.3586	0.5159
PB_4	2	85.7707	0.7507	0.6086
PB_5	2	59.9764	2.7436	0.4289
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	117.9283	5.8655	3.0235
C2	4	117.7218	9.2106	2.9699
C3	4	103.8362	9.9435	2.8717
C4	4	104.3379	1.4320	3.0139
Shield	4	70.7359	2.8086	5.4653
