#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023MovedSensorPts
Date: 2022-08-04T23:38:42.809290Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2046	23.2154
H_R2H0_P2	124.2142	25.8696
PB_P1	81.8924	10.5146
PB_P2	122.3782	1.0969
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2169	29.7347	0.0029
Sensor	1	19.2365	28.9121	-0.0016
Sensor	1	29.1034	28.2723	-0.0026
Sensor	1	39.2965	27.7729	-0.0006
Sensor	1	49.3288	27.4474	-0.0002
Sensor	1	59.3658	27.3012	0.0021
Sensor	1	69.4035	27.2967	-0.0012
Sensor	1	79.4296	27.4713	-0.0006
Sensor	1	89.6029	27.8197	0.0020
Sensor	1	99.6162	28.3195	0.0014
Sensor	1	109.6138	29.0139	-0.0001
Sensor	1	119.7501	29.8498	-0.0016
ABC_R2H0_0	2	119.9977	24.1937	0.3888
ABC_R2H0_0_A	2	124.2011	25.8611	0.3787
ABC_R2H0_0_B	2	124.4974	23.3297	0.3955
ABC_R2H0_0_C	2	115.7160	22.5375	0.3984
ABC_R2H0_0_D	2	115.5762	25.0466	0.3827
ABC_R2H0_1	2	109.9152	23.3342	0.3958
ABC_R2H0_10	2	18.8188	23.2412	0.4117
ABC_R2H0_10_A	2	23.2367	24.1923	0.3974
ABC_R2H0_10_B	2	23.1380	21.6282	0.4105
ABC_R2H0_10_C	2	14.3252	22.3089	0.4239
ABC_R2H0_10_D	2	14.5755	24.8355	0.4148
ABC_R2H0_11	2	8.7020	24.0639	0.4255
ABC_R2H0_11_A	2	13.1369	24.9519	0.4116
ABC_R2H0_11_B	2	12.9843	22.3602	0.4284
ABC_R2H0_11_C	2	4.1859	23.1986	0.4310
ABC_R2H0_11_D	2	4.5007	25.7451	0.4310
ABC_R2H0_1_A	2	114.1397	24.9376	0.3968
ABC_R2H0_1_B	2	114.4001	22.3778	0.3938
ABC_R2H0_1_C	2	105.6028	21.7477	0.4041
ABC_R2H0_1_D	2	105.5182	24.2736	0.3886
ABC_R2H0_2	2	99.8199	22.6593	0.4035
ABC_R2H0_2_A	2	104.0679	24.1906	0.3924
ABC_R2H0_2_B	2	104.2839	21.6180	0.4102
ABC_R2H0_2_C	2	95.4791	21.1306	0.4106
ABC_R2H0_2_D	2	95.4488	23.6979	0.4009
ABC_R2H0_3	2	89.7184	22.1630	0.4005
ABC_R2H0_3_A	2	93.9826	23.6108	0.4044
ABC_R2H0_3_B	2	94.1806	21.0715	0.4030
ABC_R2H0_3_C	2	85.3537	20.7011	0.3988
ABC_R2H0_3_D	2	85.3566	23.2685	0.3958
ABC_R2H0_4	2	79.5947	21.8093	0.4039
ABC_R2H0_4_A	2	83.8980	23.2046	0.4072
ABC_R2H0_4_B	2	84.0256	20.6026	0.4088
