#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023MovedSensorPts
Date: 2022-08-04T23:38:55.608335Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 7
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2044	23.2157
H_R2H0_P2	124.2144	25.8700
PB_P1	81.8940	10.5150
PB_P2	122.3798	1.0974
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2172	29.7324	0.0041
Sensor	1	19.2386	28.9121	-0.0020
Sensor	1	29.1025	28.2716	-0.0027
Sensor	1	39.2951	27.7722	-0.0012
Sensor	1	49.3281	27.4479	-0.0014
Sensor	1	59.3649	27.3001	0.0002
Sensor	1	69.3994	27.2966	0.0011
Sensor	1	79.4279	27.4710	0.0017
Sensor	1	89.6029	27.8186	0.0020
Sensor	1	99.6172	28.3201	0.0006
Sensor	1	109.6135	29.0123	-0.0006
Sensor	1	119.7502	29.8495	-0.0016
ABC_R2H0_0	2	119.9973	24.1965	0.3845
ABC_R2H0_0_A	2	124.2013	25.8644	0.3743
ABC_R2H0_0_B	2	124.4953	23.3298	0.3889
ABC_R2H0_0_C	2	115.7169	22.5415	0.3952
ABC_R2H0_0_D	2	115.5756	25.0505	0.3795
ABC_R2H0_1	2	109.9141	23.3359	0.3925
ABC_R2H0_10	2	18.8189	23.2406	0.4119
ABC_R2H0_10_A	2	23.2374	24.1917	0.3991
ABC_R2H0_10_B	2	23.1374	21.6301	0.4108
ABC_R2H0_10_C	2	14.3256	22.3086	0.4223
ABC_R2H0_10_D	2	14.5750	24.8321	0.4153
ABC_R2H0_11	2	8.7009	24.0631	0.4249
ABC_R2H0_11_A	2	13.1356	24.9518	0.4125
ABC_R2H0_11_B	2	12.9835	22.3593	0.4152
ABC_R2H0_11_C	2	4.1868	23.1981	0.4379
ABC_R2H0_11_D	2	4.4976	25.7434	0.4338
ABC_R2H0_1_A	2	114.1375	24.9401	0.3980
ABC_R2H0_1_B	2	114.3988	22.3815	0.3833
ABC_R2H0_1_C	2	105.6016	21.7493	0.3956
ABC_R2H0_1_D	2	105.5185	24.2725	0.3932
ABC_R2H0_2	2	99.8196	22.6613	0.3955
ABC_R2H0_2_A	2	104.0679	24.1940	0.3888
ABC_R2H0_2_B	2	104.2836	21.6182	0.4021
ABC_R2H0_2_C	2	95.4781	21.1326	0.3949
ABC_R2H0_2_D	2	95.4489	23.7003	0.3962
ABC_R2H0_3	2	89.7173	22.1655	0.4007
ABC_R2H0_3_A	2	93.9810	23.6131	0.3910
ABC_R2H0_3_B	2	94.1781	21.0755	0.4088
ABC_R2H0_3_C	2	85.3531	20.7020	0.4108
ABC_R2H0_3_D	2	85.3568	23.2714	0.3924
ABC_R2H0_4	2	79.5936	21.8113	0.4000
ABC_R2H0_4_A	2	83.8955	23.2069	0.3914
ABC_R2H0_4_B	2	84.0256	20.6065	0.4029
ABC_R2H0_4_C	2	75.2036	20.4334	0.4065
ABC_R2H0_4_D	2	75.2498	22.9983	0.3990
ABC_R2H0_5	2	69.4658	21.6220	0.3947
ABC_R2H0_5_A	2	73.7815	22.9434	0.3988
ABC_R2H0_5_B	2	73.8893	20.3636	0.3960
ABC_R2H0_5_C	2	65.0574	20.3204	0.3938
ABC_R2H0_5_D	2	65.1350	22.8606	0.3903
ABC_R2H0_6	2	59.3409	21.6242	0.4038
ABC_R2H0_6_A	2	63.6829	22.8723	0.3992
ABC_R2H0_6_B	2	63.7399	20.2966	0.4062
ABC_R2H0_6_C	2	54.9104	20.3902	0.4097
ABC_R2H0_6_D	2	55.0303	22.9376	0.4002
ABC_R2H0_7	2	49.2030	21.7670	0.4001
ABC_R2H0_7_A	2	53.5593	22.9483	0.4009
ABC_R2H0_7_B	2	53.5779	20.3507	0.3977
