#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023OriginalProgramReRun
Date: 2022-09-02T21:34:07.965449Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope Flash 302
Run Number: 09021
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1909	23.2156
H_R2H0_P2	124.2002	25.8689
PB_P1	81.8785	10.5146
PB_P2	122.3654	1.0966
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2160	29.7312	0.0018
Sensor	1	19.2305	28.9134	-0.0029
Sensor	1	29.0986	28.2723	0.0010
Sensor	1	39.2849	27.7721	-0.0023
Sensor	1	49.3234	27.4473	-0.0005
Sensor	1	59.3580	27.3026	0.0041
Sensor	1	69.3894	27.2958	-0.0014
Sensor	1	79.4179	27.4703	0.0075
Sensor	1	89.5942	27.8199	-0.0055
Sensor	1	99.6052	28.3198	-0.0039
Sensor	1	109.6025	29.0130	-0.0005
Sensor	1	119.7398	29.8503	0.0027
ABC_R2H0_0	2	120.0063	24.1923	0.3182
ABC_R2H0_0_A	2	124.2028	25.8637	0.3203
ABC_R2H0_0_B	2	124.5292	23.3149	0.3106
ABC_R2H0_0_C	2	115.7174	22.5403	0.3138
ABC_R2H0_0_D	2	115.5759	25.0502	0.3282
ABC_R2H0_1	2	109.9150	23.3350	0.3244
ABC_R2H0_10	2	18.8188	23.2408	0.3435
ABC_R2H0_10_A	2	23.2371	24.1915	0.3468
ABC_R2H0_10_B	2	23.1374	21.6306	0.3329
ABC_R2H0_10_C	2	14.3257	22.3078	0.3391
ABC_R2H0_10_D	2	14.5751	24.8333	0.3551
ABC_R2H0_11	2	8.6999	24.0662	0.3639
ABC_R2H0_11_A	2	13.1375	24.9516	0.3595
ABC_R2H0_11_B	2	12.9822	22.3707	0.3442
ABC_R2H0_11_C	2	4.1884	23.1977	0.3675
ABC_R2H0_11_D	2	4.4915	25.7446	0.3845
ABC_R2H0_1_A	2	114.1395	24.9390	0.3310
ABC_R2H0_1_B	2	114.3999	22.3803	0.3142
ABC_R2H0_1_C	2	105.6029	21.7479	0.3185
ABC_R2H0_1_D	2	105.5177	24.2727	0.3341
ABC_R2H0_2	2	99.8201	22.6599	0.3241
ABC_R2H0_2_A	2	104.0684	24.1923	0.3302
ABC_R2H0_2_B	2	104.2841	21.6181	0.3162
ABC_R2H0_2_C	2	95.4786	21.1309	0.3177
ABC_R2H0_2_D	2	95.4493	23.6985	0.3321
ABC_R2H0_3	2	89.7182	22.1644	0.3261
ABC_R2H0_3_A	2	93.9831	23.6128	0.3326
ABC_R2H0_3_B	2	94.1790	21.0726	0.3158
ABC_R2H0_3_C	2	85.3532	20.7024	0.3187
ABC_R2H0_3_D	2	85.3573	23.2699	0.3373
ABC_R2H0_4	2	79.5940	21.8102	0.3220
ABC_R2H0_4_A	2	83.8975	23.2056	0.3319
ABC_R2H0_4_B	2	84.0247	20.6052	0.3127
