#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023SRLBiggerFocusArea
Date: 2022-09-01T23:12:21.826755Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 09013
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2030	23.2137
H_R2H0_P2	124.2120	25.8681
PB_P1	81.8895	10.5132
PB_P2	122.3768	1.0960
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2161	29.7326	0.0013
Sensor	1	19.2310	28.9137	-0.0015
Sensor	1	29.0992	28.2727	-0.0013
Sensor	1	39.2847	27.7732	0.0013
Sensor	1	49.3238	27.4474	0.0005
Sensor	1	59.3583	27.3017	0.0005
Sensor	1	69.3890	27.2956	-0.0012
Sensor	1	79.4189	27.4706	-0.0009
Sensor	1	89.5947	27.8187	0.0012
Sensor	1	99.6044	28.3202	0.0013
Sensor	1	109.6026	29.0128	-0.0010
Sensor	1	119.7398	29.8488	-0.0001
ABC_R2H0_0	2	120.0061	24.1929	0.3470
ABC_R2H0_0_A	2	124.2026	25.8650	0.3449
ABC_R2H0_0_B	2	124.5291	23.3166	0.3417
ABC_R2H0_0_C	2	115.7170	22.5407	0.3472
ABC_R2H0_0_D	2	115.5758	25.0493	0.3541
ABC_R2H0_1	2	109.9142	23.3359	0.3554
ABC_R2H0_10	2	18.8183	23.2410	0.3706
ABC_R2H0_10_A	2	23.2365	24.1922	0.3704
ABC_R2H0_10_B	2	23.1368	21.6299	0.3647
ABC_R2H0_10_C	2	14.3253	22.3085	0.3694
ABC_R2H0_10_D	2	14.5747	24.8335	0.3777
ABC_R2H0_11	2	8.6996	24.0662	0.3887
ABC_R2H0_11_A	2	13.1374	24.9517	0.3829
ABC_R2H0_11_B	2	12.9822	22.3695	0.3738
ABC_R2H0_11_C	2	4.1877	23.1985	0.3955
ABC_R2H0_11_D	2	4.4912	25.7450	0.4027
ABC_R2H0_1_A	2	114.1389	24.9395	0.3572
ABC_R2H0_1_B	2	114.3986	22.3799	0.3490
ABC_R2H0_1_C	2	105.6016	21.7492	0.3549
ABC_R2H0_1_D	2	105.5178	24.2748	0.3604
ABC_R2H0_2	2	99.8195	22.6609	0.3581
ABC_R2H0_2_A	2	104.0670	24.1924	0.3606
ABC_R2H0_2_B	2	104.2838	21.6186	0.3534
ABC_R2H0_2_C	2	95.4781	21.1328	0.3561
ABC_R2H0_2_D	2	95.4489	23.7000	0.3624
ABC_R2H0_3	2	89.7184	22.1651	0.3616
ABC_R2H0_3_A	2	93.9824	23.6131	0.3644
ABC_R2H0_3_B	2	94.1788	21.0748	0.3555
ABC_R2H0_3_C	2	85.3547	20.7020	0.3588
ABC_R2H0_3_D	2	85.3575	23.2706	0.3676
ABC_R2H0_4	2	79.5936	21.8109	0.3589
ABC_R2H0_4_A	2	83.8969	23.2069	0.3648
ABC_R2H0_4_B	2	84.0243	20.6062	0.3558
ABC_R2H0_4_C	2	75.2034	20.4318	0.3538
ABC_R2H0_4_D	2	75.2499	22.9986	0.3613
ABC_R2H0_5	2	69.4660	21.6225	0.3579
ABC_R2H0_5_A	2	73.7803	22.9437	0.3613
ABC_R2H0_5_B	2	73.8898	20.3636	0.3554
ABC_R2H0_5_C	2	65.0589	20.3213	0.3534
ABC_R2H0_5_D	2	65.1352	22.8611	0.3616
ABC_R2H0_6	2	59.3420	21.6246	0.3590
ABC_R2H0_6_A	2	63.6831	22.8718	0.3621
ABC_R2H0_6_B	2	63.7419	20.2969	0.3497
ABC_R2H0_6_C	2	54.9121	20.3917	0.3563
ABC_R2H0_6_D	2	55.0308	22.9381	0.3677
ABC_R2H0_7	2	49.2046	21.7671	0.3641
ABC_R2H0_7_A	2	53.5611	22.9492	0.3663
ABC_R2H0_7_B	2	53.5771	20.3527	0.3572
ABC_R2H0_7_C	2	44.7531	20.6136	0.3615
ABC_R2H0_7_D	2	44.9270	23.1531	0.3714
ABC_R2H0_8	2	39.0733	22.0908	0.3658
ABC_R2H0_8_A	2	43.4543	23.1927	0.3732
ABC_R2H0_8_B	2	43.4249	20.6170	0.3601
ABC_R2H0_8_C	2	34.6067	21.0119	0.3598
ABC_R2H0_8_D	2	34.8075	23.5417	0.3700
ABC_R2H0_9	2	28.9494	22.5810	0.3677
ABC_R2H0_9_A	2	33.3495	23.6115	0.3696
ABC_R2H0_9_B	2	33.2688	21.0462	0.3610
ABC_R2H0_9_C	2	24.4646	21.5675	0.3669
ABC_R2H0_9_D	2	24.7146	24.0988	0.3732
HCC_R2H0_2	2	22.6057	7.0017	0.3118
HCC_R2H0_2_A	2	25.3882	9.4154	0.3102
HCC_R2H0_2_B	2	25.6934	4.7941	0.3027
HCC_R2H0_2_C	2	19.7225	4.6589	0.3173
HCC_R2H0_2_D	2	19.6186	9.1383	0.3170
HCC_R2H0_3	2	12.2231	11.6021	0.3284
HCC_R2H0_3_A	2	15.0201	14.0039	0.3330
HCC_R2H0_3_B	2	15.3079	9.4013	0.3197
HCC_R2H0_3_C	2	9.3239	9.2644	0.3245
HCC_R2H0_3_D	2	9.2404	13.7387	0.3363
H_R2H0_0	2	2.7637	10.6467	0.3132
H_R2H0_0_A	2	2.5405	8.2772	0.3144
H_R2H0_0_B	2	2.6266	9.7816	0.3122
H_R2H0_0_C	2	2.7535	11.0242	0.3105
H_R2H0_0_D	2	3.1343	13.5040	0.3156
H_R2H0_1	2	87.5109	12.7989	0.3722
H_R2H0_1_A	2	83.8898	12.6394	0.3731
H_R2H0_1_B	2	87.1307	12.7770	0.3763
H_R2H0_1_C	2	87.9066	12.8168	0.3738
H_R2H0_1_D	2	91.1167	12.9624	0.3656
H_R2H0_2	2	117.8072	16.3999	0.3440
H_R2H0_2_A	2	115.1732	16.1917	0.3481
H_R2H0_2_B	2	115.5576	16.6207	0.3443
H_R2H0_2_C	2	120.0049	16.1193	0.3434
H_R2H0_2_D	2	120.4929	16.6680	0.3401
PB_1	2	123.4704	5.6666	0.3040
PB_1_A	2	123.5915	1.4282	0.3649
PB_1_B	2	123.5911	1.4335	0.3620
PB_1_C	2	123.2641	7.0939	0.3010
PB_1_D	2	123.4350	12.7108	0.1883
PB_2	2	109.6872	11.8184	0.1994
PB_3	2	87.1063	10.4330	0.3984
PB_3_A	2	83.2136	10.1827	0.4018
PB_3_B	2	86.7256	10.4516	0.4157
PB_3_C	2	87.6809	10.4873	0.4098
PB_3_D	2	90.8051	10.6104	0.3665
PB_4	2	85.8722	1.3810	0.4345
PB_4_A	2	86.9734	3.9525	0.4255
PB_4_B	2	87.4089	-1.0182	0.4234
PB_4_C	2	84.6632	-1.1946	0.4332
PB_4_D	2	84.4435	3.7842	0.4558
PB_5	2	60.2921	2.8874	0.3961
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1112	5.7767	2.7846
C2	4	117.8794	9.2508	2.7394
C3	4	104.0023	10.0107	2.8018
C4	4	104.4882	1.4816	2.8497
Shield_A	4	63.1643	-1.4194	5.5262
Shield_B	4	68.5391	-0.9540	5.4866
Shield_C	4	76.5593	-0.8379	5.5620
Shield_D	4	63.0889	5.5425	5.4923
Shield_E	4	72.1036	5.7244	5.3271
Shield_F	4	76.5978	5.2802	5.4401
