#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023SRLLightingwithCoaxSensorPlane
Date: 2022-09-02T21:34:13.313815Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope Flash 302
Run Number: 09021
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2016	23.2152
H_R2H0_P2	124.2095	25.8689
PB_P1	81.8884	10.5142
PB_P2	122.3744	1.0960
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2164	29.7323	0.0001
Sensor	1	19.2313	28.9133	-0.0010
Sensor	1	29.0999	28.2737	-0.0004
Sensor	1	39.2848	27.7727	0.0024
Sensor	1	49.3231	27.4476	0.0006
Sensor	1	59.3582	27.3012	-0.0004
Sensor	1	69.3896	27.2953	-0.0018
Sensor	1	79.4182	27.4704	-0.0010
Sensor	1	89.5947	27.8201	0.0013
Sensor	1	99.6049	28.3196	0.0003
Sensor	1	109.6024	29.0124	-0.0001
Sensor	1	119.7401	29.8493	-0.0000
ABC_R2H0_0	2	120.0072	24.1922	0.3452
ABC_R2H0_0_A	2	124.2030	25.8639	0.3446
ABC_R2H0_0_B	2	124.5299	23.3165	0.3396
ABC_R2H0_0_C	2	115.7184	22.5391	0.3438
ABC_R2H0_0_D	2	115.5775	25.0494	0.3527
ABC_R2H0_1	2	109.9151	23.3354	0.3536
ABC_R2H0_10	2	18.8194	23.2409	0.3708
ABC_R2H0_10_A	2	23.2377	24.1918	0.3710
ABC_R2H0_10_B	2	23.1376	21.6301	0.3643
ABC_R2H0_10_C	2	14.3260	22.3075	0.3686
ABC_R2H0_10_D	2	14.5764	24.8342	0.3791
ABC_R2H0_11	2	8.7000	24.0663	0.3847
ABC_R2H0_11_A	2	13.1381	24.9514	0.3790
ABC_R2H0_11_B	2	12.9833	22.3703	0.3699
ABC_R2H0_11_C	2	4.1860	23.1986	0.3895
ABC_R2H0_11_D	2	4.4925	25.7450	0.4004
ABC_R2H0_1_A	2	114.1395	24.9387	0.3564
ABC_R2H0_1_B	2	114.3992	22.3801	0.3474
ABC_R2H0_1_C	2	105.6024	21.7489	0.3518
ABC_R2H0_1_D	2	105.5192	24.2737	0.3590
ABC_R2H0_2	2	99.8203	22.6598	0.3568
ABC_R2H0_2_A	2	104.0683	24.1919	0.3587
ABC_R2H0_2_B	2	104.2846	21.6191	0.3530
ABC_R2H0_2_C	2	95.4789	21.1313	0.3547
ABC_R2H0_2_D	2	95.4494	23.6971	0.3608
ABC_R2H0_3	2	89.7184	22.1645	0.3598
ABC_R2H0_3_A	2	93.9828	23.6126	0.3622
ABC_R2H0_3_B	2	94.1792	21.0746	0.3549
ABC_R2H0_3_C	2	85.3544	20.7021	0.3560
ABC_R2H0_3_D	2	85.3572	23.2688	0.3662
ABC_R2H0_4	2	79.5941	21.8107	0.3572
ABC_R2H0_4_A	2	83.8971	23.2062	0.3635
ABC_R2H0_4_B	2	84.0247	20.6054	0.3542
ABC_R2H0_4_C	2	75.2042	20.4325	0.3516
ABC_R2H0_4_D	2	75.2504	22.9988	0.3595
ABC_R2H0_5	2	69.4660	21.6226	0.3575
ABC_R2H0_5_A	2	73.7808	22.9429	0.3601
ABC_R2H0_5_B	2	73.8891	20.3653	0.3532
ABC_R2H0_5_C	2	65.0587	20.3212	0.3524
ABC_R2H0_5_D	2	65.1353	22.8611	0.3640
ABC_R2H0_6	2	59.3419	21.6232	0.3587
ABC_R2H0_6_A	2	63.6842	22.8718	0.3617
ABC_R2H0_6_B	2	63.7409	20.2958	0.3528
ABC_R2H0_6_C	2	54.9121	20.3892	0.3551
ABC_R2H0_6_D	2	55.0303	22.9361	0.3653
ABC_R2H0_7	2	49.2054	21.7664	0.3624
ABC_R2H0_7_A	2	53.5622	22.9479	0.3659
ABC_R2H0_7_B	2	53.5777	20.3511	0.3550
ABC_R2H0_7_C	2	44.7538	20.6141	0.3592
ABC_R2H0_7_D	2	44.9277	23.1526	0.3695
ABC_R2H0_8	2	39.0734	22.0900	0.3652
ABC_R2H0_8_A	2	43.4536	23.1919	0.3711
ABC_R2H0_8_B	2	43.4258	20.6154	0.3587
ABC_R2H0_8_C	2	34.6051	21.0120	0.3591
ABC_R2H0_8_D	2	34.8091	23.5407	0.3718
ABC_R2H0_9	2	28.9495	22.5807	0.3671
ABC_R2H0_9_A	2	33.3484	23.6107	0.3697
ABC_R2H0_9_B	2	33.2697	21.0459	0.3598
ABC_R2H0_9_C	2	24.4651	21.5678	0.3669
ABC_R2H0_9_D	2	24.7148	24.0983	0.3720
HCC_R2H0_2	2	22.6446	7.0031	0.3115
HCC_R2H0_2_A	2	25.4802	9.4193	0.3118
HCC_R2H0_2_B	2	25.6925	4.7931	0.3013
HCC_R2H0_2_C	2	19.7721	4.6508	0.3165
HCC_R2H0_2_D	2	19.6335	9.1494	0.3162
HCC_R2H0_3	2	12.2691	11.6035	0.3288
HCC_R2H0_3_A	2	15.0948	13.9963	0.3335
HCC_R2H0_3_B	2	15.3086	9.4020	0.3196
HCC_R2H0_3_C	2	9.4195	9.2553	0.3245
HCC_R2H0_3_D	2	9.2534	13.7606	0.3375
H_R2H0_0	2	2.7673	10.6463	0.3098
H_R2H0_0_A	2	2.5384	8.2781	0.3113
H_R2H0_0_B	2	2.6236	9.7824	0.3076
H_R2H0_0_C	2	2.7700	11.0216	0.3083
H_R2H0_0_D	2	3.1372	13.5030	0.3119
H_R2H0_1	2	87.5118	12.7980	0.3682
H_R2H0_1_A	2	83.8908	12.6384	0.3693
H_R2H0_1_B	2	87.1318	12.7758	0.3721
H_R2H0_1_C	2	87.9074	12.8157	0.3701
H_R2H0_1_D	2	91.1173	12.9620	0.3612
H_R2H0_2	2	117.8076	16.3988	0.3421
H_R2H0_2_A	2	115.1731	16.1892	0.3464
H_R2H0_2_B	2	115.5590	16.6204	0.3427
H_R2H0_2_C	2	120.0055	16.1181	0.3402
H_R2H0_2_D	2	120.4926	16.6675	0.3390
PB_1	2	123.4715	5.6665	0.2986
PB_1_A	2	123.5935	1.4291	0.3586
PB_1_B	2	123.5913	1.4323	0.3607
PB_1_C	2	123.2643	7.0949	0.2942
PB_1_D	2	123.4368	12.7095	0.1808
PB_2	2	109.6886	11.8190	0.1958
PB_3	2	87.1070	10.4329	0.3964
PB_3_A	2	83.2132	10.1823	0.4067
PB_3_B	2	86.7270	10.4513	0.4096
PB_3_C	2	87.6819	10.4875	0.4051
PB_3_D	2	90.8059	10.6104	0.3642
PB_4	2	85.8726	1.3809	0.4291
PB_4_A	2	86.9737	3.9527	0.4203
PB_4_B	2	87.4085	-1.0187	0.4166
PB_4_C	2	84.6633	-1.1942	0.4280
PB_4_D	2	84.4450	3.7837	0.4514
PB_5	2	60.2932	2.8860	0.4191
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1107	5.7770	2.7810
C2	4	117.8802	9.2506	2.7370
C3	4	104.0032	10.0107	2.7979
C4	4	104.4886	1.4815	2.8450
Shield_A	4	63.1645	-1.4171	5.5221
Shield_B	4	68.5382	-0.9545	5.4790
Shield_C	4	76.5590	-0.8368	5.5691
Shield_D	4	63.0886	5.5428	5.4964
Shield_E	4	72.1010	5.7244	5.3274
Shield_F	4	76.5977	5.2806	5.4338
