#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023TRIUMF
Date: 2022-08-31T19:33:56.207029Z
Institute: TRIUMF
Operator: PS
Instrument Type: Mitutoyo CMM
Run Number: 9231
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2054	23.2177
H_R2H0_P2	124.2139	25.8718
PB_P1	81.8871	10.5172
PB_P2	122.3647	1.0806
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.4972	28.9935	-0.0007
Sensor	1	19.8997	27.9150	0.0011
Sensor	1	29.8020	27.1861	-0.0004
Sensor	1	39.9343	26.8166	0.0007
Sensor	1	49.7123	26.5458	0.0002
Sensor	1	59.6241	26.7502	-0.0006
Sensor	1	70.2845	26.5935	-0.0008
Sensor	1	79.9185	27.1414	-0.0012
Sensor	1	89.0938	27.4075	0.0026
Sensor	1	99.2837	27.7560	-0.0006
Sensor	1	109.6474	28.7084	-0.0004
Sensor	1	119.0227	29.4226	0.0002
ABC_R2H0_0	2	119.9901	24.2003	0.3673
ABC_R2H0_1	2	109.9156	23.3540	0.3749
ABC_R2H0_2	2	99.8171	22.6765	0.3780
ABC_R2H0_3	2	89.7080	22.1647	0.3801
ABC_R2H0_4	2	79.5851	21.8156	0.3774
ABC_R2H0_5	2	69.4804	21.6433	0.3774
ABC_R2H0_6	2	59.3480	21.6395	0.3787
ABC_R2H0_7	2	49.2054	21.7850	0.3819
ABC_R2H0_8	2	39.0867	22.1290	0.3853
ABC_R2H0_9	2	28.9546	22.5961	0.3863
ABC_R2H0_10	2	18.8225	23.2595	0.3882
ABC_R2H0_11	2	8.7111	24.0905	0.4081
HCC_R2H0_2	2	22.6218	7.0255	0.3750
HCC_R2H0_3	2	12.2455	11.6311	0.3801
H_R2H0_0	2	2.9710	11.2079	0.3691
H_R2H0_1	2	87.3453	12.9271	0.4183
H_R2H0_2	2	117.8358	16.3989	0.3820
PB_1	2	123.6587	2.9745	0.4294
PB_2	2	109.6999	11.8051	0.2490
PB_3	2	87.0290	10.4135	0.4476
PB_4	2	85.7623	1.3249	0.5073
PB_5	2	59.8339	2.9783	0.4450
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	117.7159	9.2909	2.7994
C2	4	118.1223	5.8573	2.8504
C3	4	103.7630	10.0146	2.8563
C4	4	104.2320	1.2808	2.9299
Shield	4	75.4737	1.4227	5.4771
Shield	4	64.3615	2.5557	5.4588
Shield	4	71.1195	-0.3349	5.5335
Shield	4	75.4737	1.4227	5.4771
Shield	4	73.7999	5.8495	5.4116
Shield	4	65.7116	5.6758	5.4450
