#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-09-09T06:38:49.300807Z
Institute: SFU
Operator: Archa Rajagopalan
Instrument Type: Smartscope Flash 302
Run Number: 4
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2006	23.2149
H_R2H0_P2	124.2125	25.8690
PB_P1	81.8898	10.5144
PB_P2	122.3778	1.0966
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2083	29.7318	0.0016
Sensor	1	119.7502	29.8584	-0.0016
Sensor	1	0.2954	0.1593	-0.0014
Sensor	1	127.2913	0.1765	0.0014
ABC_R2H0_0	2	120.0057	24.1925	0.3632
ABC_R2H0_0_A	2	124.2034	25.8655	0.3574
ABC_R2H0_0_B	2	124.5289	23.3154	0.3596
ABC_R2H0_0_C	2	115.7154	22.5402	0.3666
ABC_R2H0_0_D	2	115.5752	25.0489	0.3693
ABC_R2H0_1	2	109.9141	23.3350	0.3725
ABC_R2H0_10	2	18.8182	23.2416	0.3867
ABC_R2H0_10_A	2	23.2362	24.1923	0.3847
ABC_R2H0_10_B	2	23.1379	21.6297	0.3852
ABC_R2H0_10_C	2	14.3236	22.3094	0.3872
ABC_R2H0_10_D	2	14.5752	24.8349	0.3895
ABC_R2H0_11	2	8.7000	24.0673	0.4027
ABC_R2H0_11_A	2	13.1366	24.9523	0.3948
ABC_R2H0_11_B	2	12.9824	22.3702	0.3923
ABC_R2H0_11_C	2	4.1892	23.1989	0.4111
ABC_R2H0_11_D	2	4.4919	25.7477	0.4126
ABC_R2H0_1_A	2	114.1387	24.9384	0.3725
ABC_R2H0_1_B	2	114.3983	22.3789	0.3683
ABC_R2H0_1_C	2	105.6014	21.7486	0.3746
ABC_R2H0_1_D	2	105.5179	24.2740	0.3747
ABC_R2H0_2	2	99.8187	22.6603	0.3765
ABC_R2H0_2_A	2	104.0665	24.1917	0.3767
ABC_R2H0_2_B	2	104.2834	21.6175	0.3750
ABC_R2H0_2_C	2	95.4771	21.1319	0.3765
ABC_R2H0_2_D	2	95.4477	23.7000	0.3779
ABC_R2H0_3	2	89.7174	22.1646	0.3801
ABC_R2H0_3_A	2	93.9814	23.6125	0.3792
ABC_R2H0_3_B	2	94.1788	21.0733	0.3772
ABC_R2H0_3_C	2	85.3526	20.7018	0.3794
ABC_R2H0_3_D	2	85.3567	23.2709	0.3845
ABC_R2H0_4	2	79.5931	21.8108	0.3782
ABC_R2H0_4_A	2	83.8966	23.2065	0.3807
ABC_R2H0_4_B	2	84.0245	20.6055	0.3786
ABC_R2H0_4_C	2	75.2020	20.4318	0.3758
ABC_R2H0_4_D	2	75.2494	22.9994	0.3775
ABC_R2H0_5	2	69.4651	21.6225	0.3790
ABC_R2H0_5_A	2	73.7802	22.9436	0.3791
ABC_R2H0_5_B	2	73.8890	20.3636	0.3781
ABC_R2H0_5_C	2	65.0565	20.3213	0.3777
ABC_R2H0_5_D	2	65.1348	22.8614	0.3811
ABC_R2H0_6	2	59.3412	21.6242	0.3800
ABC_R2H0_6_A	2	63.6827	22.8719	0.3809
ABC_R2H0_6_B	2	63.7409	20.2966	0.3777
ABC_R2H0_6_C	2	54.9112	20.3905	0.3795
ABC_R2H0_6_D	2	55.0301	22.9377	0.3818
ABC_R2H0_7	2	49.2048	21.7668	0.3818
ABC_R2H0_7_A	2	53.5620	22.9485	0.3828
ABC_R2H0_7_B	2	53.5775	20.3510	0.3784
ABC_R2H0_7_C	2	44.7529	20.6142	0.3800
ABC_R2H0_7_D	2	44.9270	23.1534	0.3860
ABC_R2H0_8	2	39.0735	22.0912	0.3842
ABC_R2H0_8_A	2	43.4542	23.1931	0.3874
ABC_R2H0_8_B	2	43.4254	20.6168	0.3824
ABC_R2H0_8_C	2	34.6061	21.0120	0.3811
ABC_R2H0_8_D	2	34.8083	23.5429	0.3858
ABC_R2H0_9	2	28.9488	22.5813	0.3850
ABC_R2H0_9_A	2	33.3481	23.6116	0.3848
ABC_R2H0_9_B	2	33.2687	21.0454	0.3826
ABC_R2H0_9_C	2	24.4636	21.5680	0.3858
ABC_R2H0_9_D	2	24.7147	24.1003	0.3868
HCC_R2H0_2	2	22.6427	7.0033	0.3641
HCC_R2H0_2_A	2	25.4782	9.4176	0.3591
HCC_R2H0_2_B	2	25.6912	4.7937	0.3598
HCC_R2H0_2_C	2	19.7697	4.6515	0.3738
HCC_R2H0_2_D	2	19.6317	9.1504	0.3636
HCC_R2H0_3	2	12.2680	11.6054	0.3705
HCC_R2H0_3_A	2	15.0936	13.9992	0.3706
HCC_R2H0_3_B	2	15.3089	9.4019	0.3654
HCC_R2H0_3_C	2	9.4174	9.2567	0.3713
HCC_R2H0_3_D	2	9.2521	13.7637	0.3744
H_R2H0_0	2	2.7632	10.6483	0.3548
H_R2H0_0_A	2	2.5392	8.2793	0.3616
H_R2H0_0_B	2	2.6258	9.7854	0.3553
H_R2H0_0_C	2	2.7510	11.0235	0.3515
H_R2H0_0_D	2	3.1367	13.5051	0.3510
H_R2H0_1	2	87.5111	12.7989	0.4090
H_R2H0_1_A	2	83.8903	12.6400	0.4107
H_R2H0_1_B	2	87.1311	12.7765	0.4135
H_R2H0_1_C	2	87.9065	12.8168	0.4097
H_R2H0_1_D	2	91.1167	12.9625	0.4022
H_R2H0_2	2	117.8076	16.3997	0.3725
H_R2H0_2_A	2	115.1739	16.1915	0.3765
H_R2H0_2_B	2	115.5586	16.6203	0.3715
H_R2H0_2_C	2	120.0056	16.1187	0.3727
H_R2H0_2_D	2	120.4925	16.6681	0.3695
PB_1	2	123.4703	5.6679	0.3589
PB_1_A	2	123.5936	1.4306	0.4261
PB_1_B	2	123.5913	1.4311	0.4324
PB_1_C	2	123.2617	7.0968	0.3510
PB_1_D	2	123.4348	12.7131	0.2261
PB_2	2	109.6845	11.8182	0.2414
PB_3	2	87.1059	10.4327	0.4403
