#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-09-01T02:33:10.494377Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope Flash 302
Run Number: 08312
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1980	23.2164
H_R2H0_P2	124.2063	25.8704
PB_P1	81.8847	10.5160
PB_P2	122.3713	1.0988
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2165	29.7307	0.0031
Sensor	1	19.2293	28.9118	-0.0032
Sensor	1	29.0973	28.2712	0.0039
Sensor	1	39.2837	27.7710	-0.0003
Sensor	1	49.3225	27.4465	-0.0110
Sensor	1	59.3573	27.3005	0.0033
Sensor	1	69.3882	27.2952	0.0027
Sensor	1	79.4173	27.4697	-0.0025
Sensor	1	89.5934	27.8180	0.0013
Sensor	1	99.6035	28.3183	0.0048
Sensor	1	109.6017	29.0116	0.0051
Sensor	1	119.7391	29.8488	-0.0072
ABC_R2H0_0	2	120.0050	24.1914	0.3447
ABC_R2H0_0_A	2	124.2022	25.8623	0.3400
ABC_R2H0_0_B	2	124.5270	23.3154	0.3402
ABC_R2H0_0_C	2	115.7164	22.5399	0.3487
ABC_R2H0_0_D	2	115.5743	25.0482	0.3499
ABC_R2H0_1	2	109.9140	23.3346	0.3528
ABC_R2H0_10	2	18.8196	23.2392	0.3700
ABC_R2H0_10_A	2	23.2384	24.1912	0.3679
ABC_R2H0_10_B	2	23.1381	21.6270	0.3659
ABC_R2H0_10_C	2	14.3265	22.3063	0.3693
ABC_R2H0_10_D	2	14.5753	24.8322	0.3768
ABC_R2H0_11	2	8.6987	24.0649	0.3882
ABC_R2H0_11_A	2	13.1362	24.9507	0.3818
ABC_R2H0_11_B	2	12.9815	22.3682	0.3748
ABC_R2H0_11_C	2	4.1870	23.1968	0.3950
ABC_R2H0_11_D	2	4.4901	25.7439	0.4013
ABC_R2H0_1_A	2	114.1381	24.9383	0.3543
ABC_R2H0_1_B	2	114.3987	22.3779	0.3461
ABC_R2H0_1_C	2	105.6016	21.7485	0.3530
ABC_R2H0_1_D	2	105.5177	24.2737	0.3578
ABC_R2H0_2	2	99.8189	22.6600	0.3561
ABC_R2H0_2_A	2	104.0662	24.1918	0.3563
ABC_R2H0_2_B	2	104.2838	21.6182	0.3532
ABC_R2H0_2_C	2	95.4775	21.1320	0.3564
ABC_R2H0_2_D	2	95.4480	23.6982	0.3587
ABC_R2H0_3	2	89.7184	22.1635	0.3579
ABC_R2H0_3_A	2	93.9824	23.6113	0.3581
ABC_R2H0_3_B	2	94.1790	21.0725	0.3521
ABC_R2H0_3_C	2	85.3545	20.7011	0.3558
ABC_R2H0_3_D	2	85.3575	23.2691	0.3657
ABC_R2H0_4	2	79.5936	21.8098	0.3568
ABC_R2H0_4_A	2	83.8962	23.2053	0.3602
ABC_R2H0_4_B	2	84.0242	20.6041	0.3526
ABC_R2H0_4_C	2	75.2044	20.4313	0.3542
ABC_R2H0_4_D	2	75.2496	22.9985	0.3603
ABC_R2H0_5	2	69.4658	21.6215	0.3577
ABC_R2H0_5_A	2	73.7804	22.9420	0.3611
ABC_R2H0_5_B	2	73.8895	20.3633	0.3532
ABC_R2H0_5_C	2	65.0588	20.3201	0.3528
ABC_R2H0_5_D	2	65.1345	22.8606	0.3638
ABC_R2H0_6	2	59.3410	21.6232	0.3608
ABC_R2H0_6_A	2	63.6824	22.8710	0.3625
ABC_R2H0_6_B	2	63.7413	20.2961	0.3545
ABC_R2H0_6_C	2	54.9101	20.3895	0.3595
ABC_R2H0_6_D	2	55.0303	22.9363	0.3668
ABC_R2H0_7	2	49.2037	21.7656	0.3653
ABC_R2H0_7_A	2	53.5603	22.9474	0.3677
ABC_R2H0_7_B	2	53.5774	20.3498	0.3579
ABC_R2H0_7_C	2	44.7509	20.6135	0.3624
ABC_R2H0_7_D	2	44.9262	23.1516	0.3733
ABC_R2H0_8	2	39.0728	22.0889	0.3686
ABC_R2H0_8_A	2	43.4537	23.1910	0.3760
ABC_R2H0_8_B	2	43.4249	20.6135	0.3625
ABC_R2H0_8_C	2	34.6050	21.0099	0.3620
ABC_R2H0_8_D	2	34.8076	23.5410	0.3740
ABC_R2H0_9	2	28.9492	22.5791	0.3684
ABC_R2H0_9_A	2	33.3487	23.6100	0.3709
ABC_R2H0_9_B	2	33.2675	21.0429	0.3586
ABC_R2H0_9_C	2	24.4655	21.5665	0.3709
ABC_R2H0_9_D	2	24.7151	24.0971	0.3730
HCC_R2H0_2	2	22.6065	6.9992	0.3229
HCC_R2H0_2_A	2	25.3913	9.4135	0.3197
HCC_R2H0_2_B	2	25.6924	4.7903	0.3158
HCC_R2H0_2_C	2	19.7229	4.6582	0.3287
HCC_R2H0_2_D	2	19.6196	9.1347	0.3274
HCC_R2H0_3	2	12.2231	11.6015	0.3369
HCC_R2H0_3_A	2	15.0191	14.0036	0.3402
HCC_R2H0_3_B	2	15.3081	9.4008	0.3276
HCC_R2H0_3_C	2	9.3249	9.2628	0.3324
HCC_R2H0_3_D	2	9.2401	13.7388	0.3474
H_R2H0_0	2	2.8881	10.6205	0.3190
H_R2H0_0_A	2	2.6123	8.2716	0.3218
H_R2H0_0_B	2	2.8467	9.7498	0.3169
H_R2H0_0_C	2	2.9245	10.9856	0.3173
H_R2H0_0_D	2	3.1689	13.4748	0.3200
H_R2H0_1	2	87.5108	12.8008	0.3742
H_R2H0_1_A	2	83.8896	12.6379	0.3762
H_R2H0_1_B	2	87.1303	12.7880	0.3775
H_R2H0_1_C	2	87.9066	12.8152	0.3782
H_R2H0_1_D	2	91.1166	12.9623	0.3647
H_R2H0_2	2	117.7952	16.3705	0.3423
H_R2H0_2_A	2	115.0082	15.9731	0.3498
