#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023
Date: 2022-09-01T23:12:17.754963Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 09011
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2014	23.2150
H_R2H0_P2	124.2105	25.8690
PB_P1	81.8890	10.5143
PB_P2	122.3738	1.0968
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2165	29.7307	0.0009
Sensor	1	19.2299	28.9124	-0.0015
Sensor	1	29.0983	28.2719	-0.0005
Sensor	1	39.2837	27.7717	0.0008
Sensor	1	49.3239	27.4487	0.0004
Sensor	1	59.3582	27.3022	0.0007
Sensor	1	69.3896	27.2961	-0.0005
Sensor	1	79.4183	27.4716	-0.0003
Sensor	1	89.5941	27.8189	-0.0002
Sensor	1	99.6047	28.3205	0.0002
Sensor	1	109.6030	29.0125	-0.0002
Sensor	1	119.7412	29.8498	0.0002
ABC_R2H0_0	2	120.0059	24.1901	0.3468
ABC_R2H0_0_A	2	124.2005	25.8587	0.3446
ABC_R2H0_0_B	2	124.5293	23.3141	0.3418
ABC_R2H0_0_C	2	115.7175	22.5400	0.3468
ABC_R2H0_0_D	2	115.5762	25.0475	0.3539
ABC_R2H0_1	2	109.9155	23.3335	0.3528
ABC_R2H0_10	2	18.8192	23.2407	0.3702
ABC_R2H0_10_A	2	23.2372	24.1919	0.3699
ABC_R2H0_10_B	2	23.1381	21.6298	0.3641
ABC_R2H0_10_C	2	14.3260	22.3083	0.3696
ABC_R2H0_10_D	2	14.5753	24.8328	0.3770
ABC_R2H0_11	2	8.7005	24.0665	0.3890
ABC_R2H0_11_A	2	13.1369	24.9520	0.3825
ABC_R2H0_11_B	2	12.9827	22.3703	0.3743
ABC_R2H0_11_C	2	4.1906	23.1986	0.3965
ABC_R2H0_11_D	2	4.4917	25.7450	0.4029
ABC_R2H0_1_A	2	114.1400	24.9374	0.3561
ABC_R2H0_1_B	2	114.3992	22.3789	0.3481
ABC_R2H0_1_C	2	105.6030	21.7464	0.3510
