#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023_firstrun
Date: 2022-06-21T16:42:15.081275Z
Institute: TRIUMF
Operator: PS
Instrument Type: Mitutoyo CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2235	23.2116
H_R2H0_P2	124.2210	25.8622
PB_P1	81.8996	10.5157
PB_P2	122.3765	1.0900
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	59.2497	-1.2882	0.0031
Sensor	1	125.1048	14.1840	-0.0022
Sensor	1	87.4955	11.9071	-0.0035
Sensor	1	9.5072	29.0007	-0.0005
Sensor	1	19.8986	27.9055	-0.0011
Sensor	1	29.8021	27.1863	0.0004
Sensor	1	39.9343	26.8166	0.0016
Sensor	1	49.7122	26.5463	-0.0007
Sensor	1	59.6231	26.7407	-0.0020
Sensor	1	70.2763	26.5946	-0.0006
Sensor	1	79.9176	27.1334	0.0011
Sensor	1	89.0833	27.4005	0.0030
Sensor	1	99.2837	27.7563	-0.0021
Sensor	1	109.6469	28.7069	0.0021
Sensor	1	119.0148	29.4234	0.0014
ABC_R2H0_0	2	120.0013	24.2178	0.3837
ABC_R2H0_0_A	2	124.2141	25.8838	0.3834
ABC_R2H0_0_B	2	124.4723	23.3260	0.3831
ABC_R2H0_0_C	2	115.7322	22.5657	0.3834
ABC_R2H0_0_D	2	115.5866	25.0956	0.3851
ABC_R2H0_1	2	109.9281	23.3734	0.3900
ABC_R2H0_10	2	18.8349	23.2609	0.4080
ABC_R2H0_10_A	2	23.2740	24.2301	0.4136
ABC_R2H0_10_B	2	23.0887	21.6516	0.4030
ABC_R2H0_10_C	2	14.3609	22.3177	0.4065
ABC_R2H0_10_D	2	14.6161	24.8440	0.4091
ABC_R2H0_11	2	8.7253	24.0878	0.4283
ABC_R2H0_11_A	2	13.1725	24.9770	0.4286
ABC_R2H0_11_B	2	12.9815	22.3944	0.4182
ABC_R2H0_11_C	2	4.2135	23.2280	0.4324
ABC_R2H0_11_D	2	4.5338	25.7517	0.4339
ABC_R2H0_1_A	2	114.1778	24.9727	0.4004
ABC_R2H0_1_B	2	114.3958	22.4182	0.3837
ABC_R2H0_1_C	2	105.6243	21.7877	0.3859
ABC_R2H0_1_D	2	105.5145	24.3151	0.3901
ABC_R2H0_2	2	99.8272	22.6920	0.3944
ABC_R2H0_2_A	2	104.0934	24.2173	0.4006
ABC_R2H0_2_B	2	104.2525	21.6534	0.3945
ABC_R2H0_2_C	2	95.5173	21.1797	0.3892
ABC_R2H0_2_D	2	95.4456	23.7177	0.3933
ABC_R2H0_3	2	89.7202	22.1781	0.3982
ABC_R2H0_3_A	2	94.0159	23.6454	0.4010
ABC_R2H0_3_B	2	94.1544	21.0792	0.4030
ABC_R2H0_3_C	2	85.3703	20.7325	0.3956
ABC_R2H0_3_D	2	85.3402	23.2552	0.3933
ABC_R2H0_4	2	79.5994	21.8268	0.3936
ABC_R2H0_4_A	2	83.9178	23.2211	0.4067
