#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000002
Date: 2022-08-03T19:57:18.931504Z
Institute: SFU
Operator: old
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2889	23.1310
H_R2H0_P2	124.2154	25.8687
PB_P1	81.9121	10.4851
PB_P2	122.2824	1.1503
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1002	28.8742	-0.0021
Sensor	1	19.1289	28.0551	0.0011
Sensor	1	29.1669	27.4025	0.0004
Sensor	1	39.2112	26.9154	0.0022
Sensor	1	49.2698	26.5926	0.0010
Sensor	1	59.3282	26.4369	0.0002
Sensor	1	69.3869	26.4446	-0.0032
Sensor	1	79.4449	26.6224	-0.0007
Sensor	1	89.4990	26.9621	0.0003
Sensor	1	99.5463	27.4689	-0.0006
Sensor	1	109.5821	28.1398	0.0014
Sensor	1	119.6071	28.9773	-0.0000
ABC_R2H0_0	2	120.0029	24.2063	0.3742
ABC_R2H0_0_A	2	124.2062	25.8743	0.3637
ABC_R2H0_0_B	2	124.5008	23.3404	0.3761
ABC_R2H0_0_C	2	115.7228	22.5502	0.3839
ABC_R2H0_0_D	2	115.5818	25.0605	0.3730
ABC_R2H0_1	2	109.9194	23.3445	0.3846
ABC_R2H0_10	2	18.8236	23.2377	0.4013
ABC_R2H0_10_A	2	23.2416	24.1892	0.3917
ABC_R2H0_10_B	2	23.1427	21.6277	0.4052
ABC_R2H0_10_C	2	14.3307	22.3050	0.4083
ABC_R2H0_10_D	2	14.5793	24.8289	0.3998
ABC_R2H0_11	2	8.7059	24.0587	0.4209
ABC_R2H0_11_A	2	13.1423	24.9472	0.4086
ABC_R2H0_11_B	2	12.9893	22.3558	0.4201
ABC_R2H0_11_C	2	4.1910	23.1919	0.4367
ABC_R2H0_11_D	2	4.5011	25.7401	0.4184
ABC_R2H0_1_A	2	114.1442	24.9483	0.3801
ABC_R2H0_1_B	2	114.4027	22.3891	0.3854
ABC_R2H0_1_C	2	105.6075	21.7583	0.3928
ABC_R2H0_1_D	2	105.5232	24.2825	0.3801
ABC_R2H0_2	2	99.8240	22.6673	0.3893
ABC_R2H0_2_A	2	104.0703	24.2007	0.3874
ABC_R2H0_2_B	2	104.2887	21.6253	0.3911
ABC_R2H0_2_C	2	95.4837	21.1376	0.3952
ABC_R2H0_2_D	2	95.4533	23.7056	0.3833
ABC_R2H0_3	2	89.7236	22.1700	0.3901
ABC_R2H0_3_A	2	93.9872	23.6195	0.3824
ABC_R2H0_3_B	2	94.1854	21.0810	0.3958
ABC_R2H0_3_C	2	85.3596	20.7069	0.3954
ABC_R2H0_3_D	2	85.3622	23.2728	0.3866
ABC_R2H0_4	2	79.5992	21.8159	0.3940
ABC_R2H0_4_A	2	83.9037	23.2118	0.3859
ABC_R2H0_4_B	2	84.0300	20.6119	0.3971
ABC_R2H0_4_C	2	75.2084	20.4364	0.4009
ABC_R2H0_4_D	2	75.2547	23.0035	0.3922
ABC_R2H0_5	2	69.4709	21.6262	0.3964
ABC_R2H0_5_A	2	73.7850	22.9476	0.3970
ABC_R2H0_5_B	2	73.8950	20.3694	0.4039
ABC_R2H0_5_C	2	65.0635	20.3236	0.3993
ABC_R2H0_5_D	2	65.1401	22.8640	0.3855
ABC_R2H0_6	2	59.3462	21.6257	0.3923
ABC_R2H0_6_A	2	63.6870	22.8748	0.3906
ABC_R2H0_6_B	2	63.7460	20.2988	0.3936
ABC_R2H0_6_C	2	54.9167	20.3917	0.3985
ABC_R2H0_6_D	2	55.0352	22.9374	0.3866
ABC_R2H0_7	2	49.2097	21.7684	0.3940
ABC_R2H0_7_A	2	53.5662	22.9504	0.3916
ABC_R2H0_7_B	2	53.5827	20.3533	0.3946
ABC_R2H0_7_C	2	44.7577	20.6152	0.4021
ABC_R2H0_7_D	2	44.9323	23.1547	0.3878
ABC_R2H0_8	2	39.0794	22.0897	0.3972
ABC_R2H0_8_A	2	43.4587	23.1919	0.3963
ABC_R2H0_8_B	2	43.4301	20.6148	0.4015
ABC_R2H0_8_C	2	34.6140	21.0107	0.4014
ABC_R2H0_8_D	2	34.8147	23.5412	0.3895
ABC_R2H0_9	2	28.9530	22.5788	0.3953
