#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000034
Date: 2022-12-01T01:08:55.130469Z
Institute: SFU
Operator: AR
Instrument type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2537	23.2934
H_R2H0_P2	124.2524	25.8540
PB_P1	81.8755	10.5113
PB_P2	122.3583	1.0276
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2048	29.7326	-0.0018
Sensor	1	19.2319	28.9163	-0.0003
Sensor	1	29.1018	28.2750	-0.0001
Sensor	1	39.2873	27.7760	0.0010
Sensor	1	49.3268	27.4485	0.0021
Sensor	1	59.3610	27.3043	0.0011
Sensor	1	69.3941	27.2975	0.0004
Sensor	1	79.4202	27.4717	0.0003
Sensor	1	89.5957	27.8212	0.0018
Sensor	1	99.6158	28.3214	0.0015
Sensor	1	109.6086	29.0002	-0.0016
Sensor	1	119.7513	29.8580	-0.0028
Sensor	1	9.4700	31.3223	-0.0036
Sensor	1	19.4569	30.4895	-0.0018
Sensor	1	29.3111	29.8470	-0.0004
Sensor	1	49.4721	29.0366	0.0010
Sensor	1	69.6531	28.8959	-0.0011
Sensor	1	79.6607	29.0731	0.0015
Sensor	1	89.8131	29.4179	0.0028
Sensor	1	99.7956	29.9357	0.0014
Sensor	1	109.7653	30.6092	0.0003
Sensor	1	120.0348	31.4763	-0.0010
Sensor	1	0.2931	0.1582	0.0020
Sensor	1	127.2931	0.1770	-0.0029
ABC_R2H0_0	2	124.2586	25.8650	0.3465
ABC_R2H0_0	2	124.5834	23.3147	0.3556
ABC_R2H0_0	2	115.7696	22.5448	0.3524
ABC_R2H0_0	2	115.6301	25.0548	0.3517
ABC_R2H0_0	2	120.0605	24.1948	0.3515
ABC_R2H0_1	2	114.1927	24.9447	0.3474
ABC_R2H0_1	2	114.4520	22.3849	0.3511
ABC_R2H0_1	2	105.6540	21.7586	0.3586
ABC_R2H0_1	2	105.5721	24.2843	0.3589
ABC_R2H0_1	2	109.9677	23.3431	0.3540
ABC_R2H0_2	2	104.1208	24.2038	0.3611
ABC_R2H0_2	2	104.3367	21.6301	0.3604
ABC_R2H0_2	2	95.5300	21.1472	0.3584
ABC_R2H0_2	2	95.5025	23.7167	0.3617
ABC_R2H0_2	2	99.8725	22.6744	0.3604
ABC_R2H0_3	2	94.0349	23.6299	0.3594
ABC_R2H0_3	2	94.2314	21.0903	0.3599
ABC_R2H0_3	2	85.4041	20.7238	0.3628
ABC_R2H0_3	2	85.4109	23.2944	0.3679
ABC_R2H0_3	2	89.7703	22.1846	0.3625
ABC_R2H0_4	2	83.9493	23.2296	0.3644
ABC_R2H0_4	2	84.0770	20.6289	0.3621
ABC_R2H0_4	2	75.2550	20.4607	0.3635
ABC_R2H0_4	2	75.3027	23.0293	0.3662
ABC_R2H0_4	2	79.6460	21.8371	0.3640
ABC_R2H0_5	2	73.8336	22.9725	0.3651
ABC_R2H0_5	2	73.9412	20.3919	0.3602
ABC_R2H0_5	2	65.1094	20.3551	0.3607
ABC_R2H0_5	2	65.1883	22.8969	0.3691
ABC_R2H0_5	2	69.5181	21.6541	0.3637
ABC_R2H0_6	2	63.7359	22.9074	0.3666
ABC_R2H0_6	2	63.7934	20.3308	0.3612
ABC_R2H0_6	2	54.9618	20.4309	0.3645
ABC_R2H0_6	2	55.0833	22.9783	0.3677
ABC_R2H0_6	2	59.3936	21.6619	0.3650
ABC_R2H0_7	2	53.6136	22.9904	0.3664
ABC_R2H0_7	2	53.6292	20.3922	0.3624
ABC_R2H0_7	2	44.8036	20.6612	0.3707
ABC_R2H0_7	2	44.9803	23.2022	0.3769
ABC_R2H0_7	2	49.2567	21.8115	0.3691
ABC_R2H0_8	2	43.5066	23.2395	0.3728
ABC_R2H0_8	2	43.4772	20.6630	0.3706
ABC_R2H0_8	2	34.6561	21.0652	0.3656
ABC_R2H0_8	2	34.8615	23.5953	0.3706
ABC_R2H0_8	2	39.1254	22.1408	0.3699
ABC_R2H0_9	2	33.4017	23.6645	0.3664
ABC_R2H0_9	2	33.3205	21.0996	0.3643
ABC_R2H0_9	2	24.5152	21.6268	0.3707
ABC_R2H0_9	2	24.7673	24.1587	0.3717
ABC_R2H0_9	2	29.0012	22.6374	0.3683
ABC_R2H0_10	2	23.2899	24.2517	0.3678
ABC_R2H0_10	2	23.1894	21.6885	0.3661
ABC_R2H0_10	2	14.3766	22.3734	0.3673
ABC_R2H0_10	2	14.6283	24.9001	0.3690
ABC_R2H0_10	2	18.8711	23.3034	0.3676
ABC_R2H0_11	2	13.1918	25.0170	0.3686
ABC_R2H0_11	2	13.0352	22.4351	0.3660
ABC_R2H0_11	2	4.2416	23.2688	0.3749
ABC_R2H0_11	2	4.5537	25.8163	0.3742
ABC_R2H0_11	2	8.7556	24.1343	0.3709
HCC_R2H0_2	2	25.9224	9.0773	0.3314
HCC_R2H0_2	2	25.8134	5.0465	0.3300
HCC_R2H0_2	2	19.7718	3.8870	0.3389
HCC_R2H0_2	2	19.7952	10.2326	0.3405
HCC_R2H0_2	2	22.8257	7.0608	0.3352
HCC_R2H0_3	2	15.4893	13.6614	0.3463
HCC_R2H0_3	2	15.4419	9.7036	0.3460
HCC_R2H0_3	2	9.2357	8.6657	0.3382
HCC_R2H0_3	2	9.3683	14.7013	0.3527
HCC_R2H0_3	2	12.3838	11.6830	0.3458
H_R2H0_0	2	2.5835	8.3499	0.3498
H_R2H0_0	2	2.6713	9.8550	0.3356
H_R2H0_0	2	2.8107	11.0953	0.3327
H_R2H0_0	2	3.1831	13.5770	0.3307
H_R2H0_0	2	2.8122	10.7193	0.3372
H_R2H0_1	2	83.9387	12.6653	0.3401
H_R2H0_1	2	87.1791	12.7988	0.3370
H_R2H0_1	2	87.9544	12.8382	0.3367
H_R2H0_1	2	91.1655	12.9815	0.3359
H_R2H0_1	2	87.5594	12.8209	0.3374
H_R2H0_2	2	115.2228	16.1949	0.3176
H_R2H0_2	2	115.6077	16.6254	0.3192
H_R2H0_2	2	120.0550	16.1215	0.3329
H_R2H0_2	2	120.5429	16.6715	0.3368
H_R2H0_2	2	117.8571	16.4033	0.3266
PB_1	2	123.5814	1.3653	0.4225
PB_1	2	123.5158	3.2430	0.4006
PB_1	2	123.2605	7.0312	0.3818
PB_1	2	123.4431	12.6478	0.2765
PB_1	2	123.4502	6.0718	0.3703
PB_2	2	109.6922	11.7778	0.3209
PB_3	2	83.2158	10.1904	0.4299
PB_3	2	86.7305	10.4540	0.3809
PB_3	2	87.6854	10.4877	0.3852
PB_3	2	90.8085	10.6056	0.3546
PB_3	2	87.1101	10.4344	0.3876
PB_4	2	86.9645	3.9518	0.3750
PB_4	2	87.3903	-1.0184	0.3065
PB_4	2	84.6436	-1.1887	0.3317
PB_4	2	84.4354	3.7904	0.4204
PB_4	2	85.8585	1.3838	0.3584
PB_5	2	60.2822	2.9355	0.4193
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1053	5.7229	2.9381
C2	4	117.8801	9.1973	2.8236
C3	4	104.0046	9.9800	2.7621
C4	4	104.4752	1.4493	2.8653
Shield	4	63.1458	-1.3736	5.3474
Shield	4	68.5223	-0.9192	5.3651
Shield	4	76.5426	-0.8159	5.3866
Shield	4	63.0826	5.5898	5.3935
Shield	4	72.0968	5.7544	5.4133
Shield	4	76.5938	5.3012	5.4369
