#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000034
Date: 2022-12-01T01:09:19.078212Z
Institute: SFU
Operator: PS-TRIUMF
Instrument t ype: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2528	23.2937
H_R2H0_P2	124.2511	25.8555
PB_P1	81.8808	10.5041
PB_P2	122.3545	1.0224
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	59.2426	-1.2779	-0.0003
Sensor	1	125.1048	14.1838	0.0054
Sensor	1	87.4852	11.9002	-0.0019
Sensor	1	9.4971	28.9935	0.0061
Sensor	1	19.8995	27.9134	0.0050
Sensor	1	29.8021	27.1861	0.0021
Sensor	1	39.9343	26.8166	0.0001
Sensor	1	49.7123	26.5458	-0.0030
Sensor	1	59.6242	26.7502	-0.0025
Sensor	1	70.2844	26.5935	-0.0025
Sensor	1	79.9200	27.1412	-0.0052
Sensor	1	89.0937	27.4074	0.0008
Sensor	1	99.2836	27.7560	0.0005
Sensor	1	109.6474	28.7083	0.0071
Sensor	1	119.0225	29.4225	0.0041
Sensor	1	4.2522	31.5077	-0.0018
Sensor	1	11.0589	30.9802	0.0063
Sensor	1	27.5931	29.9801	-0.0008
Sensor	1	40.5542	29.0964	0.0011
Sensor	1	62.0385	28.5835	-0.0094
Sensor	1	75.2679	28.6899	-0.0077
Sensor	1	86.5095	29.3518	-0.0079
Sensor	1	94.0585	29.6004	-0.0025
Sensor	1	114.2327	30.7966	0.0068
ABC_R2H0_0	2	120.0377	24.1971	0.3562
ABC_R2H0_0	2	124.2638	25.8647	0.3549
ABC_R2H0_0	2	124.5094	23.2996	0.3626
ABC_R2H0_0	2	115.7597	22.5391	0.3545
ABC_R2H0_0	2	115.6178	25.0852	0.3528
ABC_R2H0_1	2	109.9626	23.3567	0.3559
ABC_R2H0_1	2	114.2162	24.9545	0.3499
ABC_R2H0_1	2	114.4315	22.3915	0.3540
ABC_R2H0_1	2	105.6599	21.7761	0.3597
ABC_R2H0_1	2	105.5429	24.3048	0.3600
ABC_R2H0_2	2	99.8637	22.6852	0.3590
ABC_R2H0_2	2	104.1230	24.2080	0.3609
ABC_R2H0_2	2	104.2962	21.6420	0.3603
ABC_R2H0_2	2	95.5525	21.1764	0.3555
ABC_R2H0_2	2	95.4830	23.7143	0.3592
ABC_R2H0_3	2	89.7544	22.1793	0.3587
ABC_R2H0_3	2	94.0532	23.6431	0.3573
ABC_R2H0_3	2	94.1897	21.0766	0.3558
ABC_R2H0_3	2	85.4054	20.7369	0.3594
ABC_R2H0_3	2	85.3693	23.2606	0.3624
ABC_R2H0_4	2	79.6312	21.8361	0.3570
ABC_R2H0_4	2	83.9457	23.2193	0.3579
ABC_R2H0_4	2	84.0483	20.6530	0.3570
ABC_R2H0_4	2	75.2509	20.4703	0.3552
ABC_R2H0_4	2	75.2800	23.0018	0.3578
ABC_R2H0_5	2	69.5264	21.6694	0.3574
ABC_R2H0_5	2	73.8538	22.9802	0.3561
ABC_R2H0_5	2	73.9525	20.3986	0.3576
ABC_R2H0_5	2	65.1282	20.3730	0.3554
ABC_R2H0_5	2	65.1710	22.9257	0.3606
ABC_R2H0_6	2	59.3940	21.6719	0.3582
ABC_R2H0_6	2	63.7415	22.9161	0.3604
ABC_R2H0_6	2	63.7758	20.3318	0.3542
ABC_R2H0_6	2	54.9829	20.4451	0.3574
ABC_R2H0_6	2	55.0760	22.9946	0.3607
ABC_R2H0_7	2	49.2515	21.8237	0.3643
ABC_R2H0_7	2	53.6271	22.9844	0.3603
ABC_R2H0_7	2	53.5818	20.4260	0.3577
ABC_R2H0_7	2	44.8331	20.6584	0.3665
ABC_R2H0_7	2	44.9641	23.2262	0.3726
ABC_R2H0_8	2	39.1330	22.1733	0.3671
ABC_R2H0_8	2	43.5130	23.2719	0.3691
ABC_R2H0_8	2	43.4522	20.7154	0.3673
ABC_R2H0_8	2	34.6982	21.0571	0.3664
ABC_R2H0_8	2	34.8686	23.6486	0.3656
ABC_R2H0_9	2	29.0012	22.6463	0.3673
ABC_R2H0_9	2	33.4190	23.6756	0.3636
ABC_R2H0_9	2	33.2944	21.1156	0.3625
ABC_R2H0_9	2	24.5352	21.6186	0.3701
ABC_R2H0_9	2	24.7561	24.1755	0.3732
ABC_R2H0_10	2	18.8698	23.3157	0.3701
ABC_R2H0_10	2	23.3111	24.2750	0.3683
ABC_R2H0_10	2	23.1237	21.6968	0.3667
ABC_R2H0_10	2	14.3891	22.3787	0.3714
ABC_R2H0_10	2	14.6555	24.9123	0.3738
ABC_R2H0_11	2	8.7586	24.1528	0.3770
ABC_R2H0_11	2	13.2028	25.0390	0.3679
ABC_R2H0_11	2	13.0259	22.4546	0.3683
ABC_R2H0_11	2	4.2424	23.2968	0.3866
ABC_R2H0_11	2	4.5632	25.8206	0.3852
HCC_R2H0_2	2	22.6596	6.8488	0.3391
HCC_R2H0_2	2	19.7313	3.9350	0.3420
HCC_R2H0_2	2	25.2729	4.2454	0.3322
HCC_R2H0_2	2	25.9206	9.0773	0.3345
HCC_R2H0_2	2	19.7136	10.1376	0.3477
HCC_R2H0_3	2	12.2306	11.5090	0.3520
HCC_R2H0_3	2	9.1672	8.7109	0.3483
HCC_R2H0_3	2	14.8675	8.9234	0.3458
HCC_R2H0_3	2	15.5358	13.6735	0.3544
HCC_R2H0_3	2	9.3519	14.7281	0.3596
H_R2H0_0	2	3.0112	11.2735	0.3472
H_R2H0_0	2	3.3186	13.5875	0.3426
H_R2H0_0	2	3.1254	12.0763	0.3417
H_R2H0_0	2	2.9462	10.8213	0.3450
H_R2H0_0	2	2.6547	8.6088	0.3594
H_R2H0_1	2	87.3862	12.9431	0.3370
H_R2H0_1	2	83.8941	12.7455	0.3389
H_R2H0_1	2	86.4196	12.8863	0.3362
H_R2H0_1	2	88.2184	13.0370	0.3374
H_R2H0_1	2	91.0127	13.1034	0.3354
H_R2H0_2	2	117.8788	16.3974	0.3316
H_R2H0_2	2	115.1114	16.0768	0.3215
