#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000023
Date: 2022-09-19T19:27:50.939426Z
Institute: TRIUMF
Operator: Archa
Instrument Type: Mitutoyo CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2064	23.2102
H_R2H0_P2	124.2148	25.8645
PB_P1	81.8931	10.5100
PB_P2	122.3792	1.0920
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2169	29.7316	-0.0012
Sensor	1	19.2308	28.9135	-0.0007
Sensor	1	29.1001	28.2727	0.0015
Sensor	1	39.2857	27.7725	0.0028
Sensor	1	49.3236	27.4483	-0.0002
Sensor	1	59.3583	27.3015	-0.0005
Sensor	1	69.3896	27.2961	-0.0013
Sensor	1	79.4186	27.4708	-0.0015
Sensor	1	89.5947	27.8194	0.0000
Sensor	1	99.6046	28.3196	0.0007
Sensor	1	109.6032	29.0121	0.0004
Sensor	1	119.7408	29.8498	0.0001
ABC_R2H0_0	2	124.2032	25.8649	0.3484
ABC_R2H0_1	2	114.1395	24.9385	0.3621
ABC_R2H0_2	2	104.0671	24.1917	0.3658
ABC_R2H0_3	2	93.9825	23.6113	0.3693
ABC_R2H0_4	2	83.8969	23.2057	0.3690
ABC_R2H0_5	2	73.7815	22.9428	0.3649
ABC_R2H0_6	2	63.6830	22.8711	0.3669
ABC_R2H0_7	2	53.5616	22.9476	0.3715
ABC_R2H0_8	2	43.4543	23.1916	0.3743
ABC_R2H0_9	2	33.3483	23.6104	0.3724
ABC_R2H0_10	2	23.2374	24.1910	0.3740
ABC_R2H0_11	2	13.1372	24.9508	0.3849
HCC_R2H0_2	2	25.4792	9.4189	0.3202
HCC_R2H0_3	2	15.0949	13.9955	0.3393
H_R2H0_0	2	2.5405	8.2773	0.3198
H_R2H0_1	2	83.8900	12.6380	0.3785
H_R2H0_2	2	115.1732	16.1909	0.3548
PB_1	2	123.5941	1.4297	0.3732
PB_2	2	109.6890	11.8182	0.2051
PB_3	2	83.2147	10.1833	0.4041
PB_4	2	86.9755	3.9535	0.4281
PB_5	2	60.2940	2.8890	0.4186
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1110	5.7771	2.7907
C2	4	117.8806	9.2506	2.7481
C3	4	104.0031	10.0108	2.8088
C4	4	104.4890	1.4820	2.8586
Shield	4	63.1648	-1.4162	5.5350
Shield	4	68.5393	-0.9532	5.4936
Shield	4	76.5594	-0.8343	5.5774
Shield	4	63.0880	5.5454	5.4957
Shield	4	72.1022	5.7266	5.3292
Shield	4	76.5985	5.2816	5.4493
