#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 23
Date: 2022-09-09T06:38:45.933Z
Institute: SFU
Operator: a
Instrument type: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1997	23.2153
H_R2H0_P2	124.2120	25.8693
PB_P1	81.8896	10.5147
PB_P2	122.3771	1.0968
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2083	29.7318	-0.0000
Sensor	1	119.7507	29.8579	0.0000
Sensor	1	0.2948	0.1595	0.0000
Sensor	1	127.2919	0.1776	-0.0000
ABC_R2H0_0	2	124.2037	25.8655	0.3570
ABC_R2H0_0	2	124.5294	23.3152	0.3595
ABC_R2H0_0	2	115.7171	22.5405	0.3658
ABC_R2H0_0	2	115.5758	25.0480	0.3686
ABC_R2H0_0	2	120.0065	24.1923	0.3627
ABC_R2H0_1	2	114.1390	24.9386	0.3710
ABC_R2H0_1	2	114.3987	22.3785	0.3693
ABC_R2H0_1	2	105.6013	21.7474	0.3753
ABC_R2H0_1	2	105.5180	24.2746	0.3744
ABC_R2H0_1	2	109.9143	23.3348	0.3725
ABC_R2H0_2	2	104.0667	24.1921	0.3773
ABC_R2H0_2	2	104.2845	21.6188	0.3760
ABC_R2H0_2	2	95.4769	21.1322	0.3776
ABC_R2H0_2	2	95.4480	23.7002	0.3781
ABC_R2H0_2	2	99.8191	22.6608	0.3772
ABC_R2H0_3	2	93.9816	23.6120	0.3800
ABC_R2H0_3	2	94.1803	21.0734	0.3773
ABC_R2H0_3	2	85.3531	20.7021	0.3795
ABC_R2H0_3	2	85.3571	23.2699	0.3837
ABC_R2H0_3	2	89.7180	22.1643	0.3801
ABC_R2H0_4	2	83.8967	23.2061	0.3811
ABC_R2H0_4	2	84.0257	20.6054	0.3793
ABC_R2H0_4	2	75.2019	20.4322	0.3757
ABC_R2H0_4	2	75.2497	22.9987	0.3774
ABC_R2H0_4	2	79.5935	21.8106	0.3783
ABC_R2H0_5	2	73.7805	22.9435	0.3792
ABC_R2H0_5	2	73.8899	20.3640	0.3771
ABC_R2H0_5	2	65.0575	20.3204	0.3765
ABC_R2H0_5	2	65.1350	22.8621	0.3810
ABC_R2H0_5	2	69.4657	21.6225	0.3785
ABC_R2H0_6	2	63.6834	22.8718	0.3798
ABC_R2H0_6	2	63.7409	20.2960	0.3766
ABC_R2H0_6	2	54.9113	20.3908	0.3797
ABC_R2H0_6	2	55.0300	22.9361	0.3851
ABC_R2H0_6	2	59.3414	21.6237	0.3803
ABC_R2H0_7	2	53.5605	22.9487	0.3851
ABC_R2H0_7	2	53.5772	20.3510	0.3792
ABC_R2H0_7	2	44.7530	20.6137	0.3810
ABC_R2H0_7	2	44.9273	23.1533	0.3863
ABC_R2H0_7	2	49.2045	21.7667	0.3829
ABC_R2H0_8	2	43.4551	23.1918	0.3868
ABC_R2H0_8	2	43.4256	20.6158	0.3814
ABC_R2H0_8	2	34.6063	21.0116	0.3811
ABC_R2H0_8	2	34.8086	23.5410	0.3866
ABC_R2H0_8	2	39.0739	22.0901	0.3840
ABC_R2H0_9	2	33.3483	23.6121	0.3852
ABC_R2H0_9	2	33.2690	21.0451	0.3808
ABC_R2H0_9	2	24.4647	21.5679	0.3852
ABC_R2H0_9	2	24.7146	24.0995	0.3869
ABC_R2H0_9	2	28.9492	22.5812	0.3845
ABC_R2H0_10	2	23.2358	24.1931	0.3845
ABC_R2H0_10	2	23.1386	21.6303	0.3836
ABC_R2H0_10	2	14.3255	22.3085	0.3871
ABC_R2H0_10	2	14.5753	24.8351	0.3902
ABC_R2H0_10	2	18.8188	23.2417	0.3864
ABC_R2H0_11	2	13.1367	24.9521	0.3951
ABC_R2H0_11	2	12.9837	22.3700	0.3924
ABC_R2H0_11	2	4.1892	23.1986	0.4100
ABC_R2H0_11	2	4.4918	25.7474	0.4132
ABC_R2H0_11	2	8.7004	24.0670	0.4027
HCC_R2H0_2	2	25.4798	9.4196	0.3590
HCC_R2H0_2	2	25.6917	4.7939	0.3600
HCC_R2H0_2	2	19.7697	4.6511	0.3749
HCC_R2H0_2	2	19.6318	9.1495	0.3631
HCC_R2H0_2	2	22.6433	7.0035	0.3642
HCC_R2H0_3	2	15.0938	13.9993	0.3706
HCC_R2H0_3	2	15.3092	9.4009	0.3671
HCC_R2H0_3	2	9.4178	9.2574	0.3725
HCC_R2H0_3	2	9.2530	13.7626	0.3724
HCC_R2H0_3	2	12.2684	11.6051	0.3707
H_R2H0_0	2	2.5413	8.2774	0.3593
H_R2H0_0	2	2.6252	9.7837	0.3531
H_R2H0_0	2	2.7497	11.0255	0.3505
H_R2H0_0	2	3.1367	13.5049	0.3461
H_R2H0_0	2	2.7632	10.6479	0.3523
H_R2H0_1	2	83.8913	12.6397	0.4101
H_R2H0_1	2	87.1329	12.7764	0.4128
H_R2H0_1	2	87.9071	12.8159	0.4111
H_R2H0_1	2	91.1171	12.9626	0.4039
H_R2H0_1	2	87.5121	12.7987	0.4095
H_R2H0_2	2	115.1734	16.1898	0.3773
H_R2H0_2	2	115.5587	16.6209	0.3737
H_R2H0_2	2	120.0062	16.1183	0.3730
H_R2H0_2	2	120.4929	16.6687	0.3692
H_R2H0_2	2	117.8078	16.3994	0.3733
PB_1	2	123.5939	1.4316	0.4283
PB_1	2	123.5911	1.4319	0.4280
PB_1	2	123.2625	7.0954	0.3513
PB_1	2	123.4342	12.7133	0.2258
PB_1	2	123.4704	5.6681	0.3584
PB_2	2	109.6858	11.8178	0.2418
PB_3	2	83.2118	10.1767	0.4457
PB_3	2	86.7252	10.4514	0.4584
PB_3	2	87.6801	10.4862	0.4528
PB_3	2	90.8045	10.6096	0.4080
PB_3	2	87.1054	10.4310	0.4412
PB_4	2	86.9726	3.9503	0.4833
PB_4	2	87.4079	-1.0220	0.4900
PB_4	2	84.6607	-1.1955	0.5019
PB_4	2	84.4430	3.7836	0.5139
PB_4	2	85.8711	1.3791	0.4973
PB_5	2	60.2928	2.8821	0.4578
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1099	5.7792	2.8390
C2	4	117.8783	9.2522	2.7873
C3	4	104.0004	10.0098	2.8476
C4	4	104.4878	1.4801	2.9148
Shield	4	63.1658	-1.4219	5.5957
Shield	4	68.5397	-0.9573	5.5519
Shield	4	76.5594	-0.8393	5.6279
Shield	4	63.0867	5.5401	5.5411
Shield	4	72.1012	5.7227	5.3846
Shield	4	76.5982	5.2786	5.4934
