#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 2
Date: 2022-09-09T06:38:51.680694Z
Institute: TRIUMF
Operator: ar
Instrument Type: Mitutoyo CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1998	23.2154
H_R2H0_P2	124.2117	25.8696
PB_P1	81.8884	10.5147
PB_P2	122.3761	1.0971
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2083	29.7327	0.0002
Sensor	1	119.7501	29.8576	-0.0002
Sensor	1	0.2938	0.1587	-0.0001
Sensor	1	127.2913	0.1759	0.0001
ABC_R2H0_0	2	124.2027	25.8664	0.3562
ABC_R2H0_1	2	114.1381	24.9392	0.3708
ABC_R2H0_2	2	104.0661	24.1923	0.3748
ABC_R2H0_3	2	93.9815	23.6126	0.3782
ABC_R2H0_4	2	83.8957	23.2068	0.3797
ABC_R2H0_5	2	73.7799	22.9438	0.3776
ABC_R2H0_6	2	63.6829	22.8720	0.3765
ABC_R2H0_7	2	53.5603	22.9485	0.3837
ABC_R2H0_8	2	43.4528	23.1923	0.3852
ABC_R2H0_9	2	33.3476	23.6115	0.3829
ABC_R2H0_10	2	23.2353	24.1927	0.3829
ABC_R2H0_11	2	13.1356	24.9524	0.3930
HCC_R2H0_2	2	25.4779	9.4177	0.3587
HCC_R2H0_3	2	15.0939	13.9987	0.3692
H_R2H0_0	2	2.5394	8.2772	0.3608
H_R2H0_1	2	83.8904	12.6395	0.4102
H_R2H0_2	2	115.1722	16.1906	0.3767
PB_1	2	123.5940	1.4327	0.4284
PB_2	2	109.6835	11.8186	0.2408
PB_3	2	83.2114	10.1781	0.4440
PB_4	2	86.9721	3.9493	0.4831
PB_5	2	60.2933	2.8804	0.4546
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1090	5.7805	2.8388
C2	4	117.8780	9.2529	2.7863
C3	4	103.9997	10.0103	2.8464
C4	4	104.4873	1.4793	2.9163
Shield	4	63.1644	-1.4259	5.5967
Shield	4	68.5391	-0.9604	5.5518
Shield	4	76.5587	-0.8404	5.6306
Shield	4	63.0845	5.5379	5.5406
Shield	4	72.1001	5.7209	5.3860
Shield	4	76.5974	5.2762	5.4952
