#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: ABClargerfocusarea
Date: 2022-09-02T23:56:15.196641Z
Institute: SFU
Operator: a
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2057	23.2111
H_R2H0_P2	124.2144	25.8651
PB_P1	81.8929	10.5110
PB_P2	122.3791	1.0927
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2173	29.7310	0.0003
Sensor	1	19.2307	28.9139	-0.0005
Sensor	1	29.1028	28.2735	-0.0011
Sensor	1	39.2867	27.7721	0.0013
Sensor	1	49.3235	27.4479	0.0008
Sensor	1	59.3581	27.3015	0.0006
Sensor	1	69.3886	27.2972	-0.0012
Sensor	1	79.4195	27.4703	-0.0006
Sensor	1	89.5942	27.8193	0.0001
Sensor	1	99.6044	28.3203	0.0002
Sensor	1	109.6028	29.0121	-0.0003
Sensor	1	119.7408	29.8511	0.0004
ABC_R2H0_0	2	120.0059	24.1915	0.3502
ABC_R2H0_0_A	2	124.2010	25.8630	0.3492
ABC_R2H0_0_B	2	124.5290	23.3148	0.3453
ABC_R2H0_0_C	2	115.7171	22.5399	0.3499
ABC_R2H0_0_D	2	115.5766	25.0484	0.3564
ABC_R2H0_1	2	109.9144	23.3340	0.3579
ABC_R2H0_10	2	18.8185	23.2404	0.3742
ABC_R2H0_10_A	2	23.2372	24.1913	0.3746
ABC_R2H0_10_B	2	23.1367	21.6297	0.3696
ABC_R2H0_10_C	2	14.3250	22.3072	0.3724
ABC_R2H0_10_D	2	14.5751	24.8333	0.3801
ABC_R2H0_11	2	8.6993	24.0659	0.3920
ABC_R2H0_11_A	2	13.1366	24.9509	0.3853
ABC_R2H0_11_B	2	12.9821	22.3694	0.3797
ABC_R2H0_11_C	2	4.1874	23.1981	0.3977
ABC_R2H0_11_D	2	4.4912	25.7454	0.4055
ABC_R2H0_1_A	2	114.1381	24.9378	0.3600
ABC_R2H0_1_B	2	114.3991	22.3789	0.3506
ABC_R2H0_1_C	2	105.6017	21.7464	0.3579
ABC_R2H0_1_D	2	105.5186	24.2731	0.3630
ABC_R2H0_2	2	99.8194	22.6594	0.3607
ABC_R2H0_2_A	2	104.0668	24.1917	0.3634
ABC_R2H0_2_B	2	104.2841	21.6154	0.3570
ABC_R2H0_2_C	2	95.4784	21.1320	0.3575
ABC_R2H0_2_D	2	95.4485	23.6985	0.3649
ABC_R2H0_3	2	89.7181	22.1636	0.3633
ABC_R2H0_3_A	2	93.9821	23.6112	0.3675
ABC_R2H0_3_B	2	94.1787	21.0734	0.3596
ABC_R2H0_3_C	2	85.3543	20.7013	0.3593
ABC_R2H0_3_D	2	85.3572	23.2686	0.3670
ABC_R2H0_4	2	79.5939	21.8100	0.3615
ABC_R2H0_4_A	2	83.8980	23.2053	0.3655
