#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: FRLonlyonHCCandHbondingpads
Date: 2022-09-02T22:15:41.638542Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1990	23.2152
H_R2H0_P2	124.2105	25.8689
PB_P1	81.8899	10.5136
PB_P2	122.3757	1.0958
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2155	29.7313	-0.0003
Sensor	1	19.2301	28.9135	-0.0014
Sensor	1	29.0983	28.2729	0.0014
Sensor	1	39.2841	27.7727	0.0016
Sensor	1	49.3230	27.4484	0.0005
Sensor	1	59.3577	27.3013	-0.0001
Sensor	1	69.3883	27.2959	-0.0018
Sensor	1	79.4175	27.4704	-0.0016
Sensor	1	89.5942	27.8190	0.0010
Sensor	1	99.6037	28.3196	0.0003
Sensor	1	109.6018	29.0129	0.0009
Sensor	1	119.7396	29.8498	-0.0005
ABC_R2H0_0	2	120.0069	24.1910	0.3487
ABC_R2H0_0_A	2	124.2023	25.8627	0.3471
ABC_R2H0_0_B	2	124.5301	23.3147	0.3433
ABC_R2H0_0_C	2	115.7183	22.5394	0.3494
ABC_R2H0_0_D	2	115.5768	25.0471	0.3550
ABC_R2H0_1	2	109.9148	23.3339	0.3561
ABC_R2H0_10	2	18.8191	23.2407	0.3724
ABC_R2H0_10_A	2	23.2368	24.1921	0.3729
ABC_R2H0_10_B	2	23.1380	21.6301	0.3682
ABC_R2H0_10_C	2	14.3266	22.3078	0.3710
ABC_R2H0_10_D	2	14.5751	24.8329	0.3777
ABC_R2H0_11	2	8.6996	24.0664	0.3903
ABC_R2H0_11_A	2	13.1367	24.9522	0.3838
ABC_R2H0_11_B	2	12.9829	22.3709	0.3762
ABC_R2H0_11_C	2	4.1883	23.1977	0.3974
ABC_R2H0_11_D	2	4.4907	25.7449	0.4038
ABC_R2H0_1_A	2	114.1392	24.9376	0.3574
ABC_R2H0_1_B	2	114.3988	22.3782	0.3505
ABC_R2H0_1_C	2	105.6024	21.7478	0.3561
ABC_R2H0_1_D	2	105.5187	24.2721	0.3605
ABC_R2H0_2	2	99.8206	22.6590	0.3588
ABC_R2H0_2_A	2	104.0687	24.1907	0.3606
ABC_R2H0_2_B	2	104.2841	21.6167	0.3564
ABC_R2H0_2_C	2	95.4794	21.1312	0.3554
ABC_R2H0_2_D	2	95.4501	23.6976	0.3627
ABC_R2H0_3	2	89.7198	22.1639	0.3603
ABC_R2H0_3_A	2	93.9846	23.6119	0.3609
ABC_R2H0_3_B	2	94.1806	21.0734	0.3550
ABC_R2H0_3_C	2	85.3558	20.7011	0.3576
ABC_R2H0_3_D	2	85.3581	23.2691	0.3677
ABC_R2H0_4	2	79.5946	21.8102	0.3599
ABC_R2H0_4_A	2	83.8974	23.2053	0.3635
ABC_R2H0_4_B	2	84.0257	20.6056	0.3577
ABC_R2H0_4_C	2	75.2045	20.4312	0.3563
ABC_R2H0_4_D	2	75.2509	22.9986	0.3622
ABC_R2H0_5	2	69.4659	21.6215	0.3625
ABC_R2H0_5_A	2	73.7817	22.9430	0.3652
ABC_R2H0_5_B	2	73.8896	20.3633	0.3551
ABC_R2H0_5_C	2	65.0574	20.3206	0.3603
ABC_R2H0_5_D	2	65.1348	22.8589	0.3695
ABC_R2H0_6	2	59.3415	21.6239	0.3655
ABC_R2H0_6_A	2	63.6834	22.8717	0.3679
ABC_R2H0_6_B	2	63.7409	20.2969	0.3624
ABC_R2H0_6_C	2	54.9111	20.3901	0.3627
ABC_R2H0_6_D	2	55.0305	22.9367	0.3690
ABC_R2H0_7	2	49.2049	21.7661	0.3668
ABC_R2H0_7_A	2	53.5606	22.9477	0.3695
ABC_R2H0_7_B	2	53.5778	20.3510	0.3610
ABC_R2H0_7_C	2	44.7540	20.6137	0.3641
ABC_R2H0_7_D	2	44.9273	23.1521	0.3725
ABC_R2H0_8	2	39.0740	22.0906	0.3686
ABC_R2H0_8_A	2	43.4551	23.1914	0.3730
ABC_R2H0_8_B	2	43.4260	20.6161	0.3637
ABC_R2H0_8_C	2	34.6058	21.0126	0.3646
ABC_R2H0_8_D	2	34.8092	23.5421	0.3732
ABC_R2H0_9	2	28.9499	22.5806	0.3699
ABC_R2H0_9_A	2	33.3496	23.6108	0.3711
ABC_R2H0_9_B	2	33.2693	21.0468	0.3641
ABC_R2H0_9_C	2	24.4654	21.5665	0.3701
ABC_R2H0_9_D	2	24.7151	24.0984	0.3745
HCC_R2H0_2	2	22.6438	7.0034	0.3248
HCC_R2H0_2_A	2	25.4788	9.4201	0.3230
HCC_R2H0_2_B	2	25.6918	4.7932	0.3173
