#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: PBfrlLIGHTINgonliy
Date: 2022-09-02T23:56:29.567373Z
Institute: SFU
Operator: a
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2040	23.2112
H_R2H0_P2	124.2147	25.8648
PB_P1	81.8932	10.5105
PB_P2	122.3794	1.0926
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2166	29.7324	0.0001
Sensor	1	19.2306	28.9133	0.0002
Sensor	1	29.1007	28.2730	-0.0010
Sensor	1	39.2851	27.7732	0.0012
Sensor	1	49.3240	27.4475	-0.0001
Sensor	1	59.3588	27.3009	0.0000
Sensor	1	69.3895	27.2956	-0.0007
Sensor	1	79.4184	27.4708	-0.0005
Sensor	1	89.5949	27.8201	0.0007
Sensor	1	99.6054	28.3195	0.0002
Sensor	1	109.6029	29.0118	0.0002
Sensor	1	119.7403	29.8495	-0.0004
ABC_R2H0_0	2	120.0063	24.1943	0.3471
ABC_R2H0_0_A	2	124.2033	25.8668	0.3455
ABC_R2H0_0_B	2	124.5286	23.3168	0.3416
ABC_R2H0_0_C	2	115.7169	22.5422	0.3467
ABC_R2H0_0_D	2	115.5763	25.0514	0.3546
ABC_R2H0_1	2	109.9140	23.3360	0.3543
ABC_R2H0_10	2	18.8188	23.2406	0.3671
ABC_R2H0_10_A	2	23.2371	24.1914	0.3683
ABC_R2H0_10_B	2	23.1371	21.6294	0.3611
ABC_R2H0_10_C	2	14.3259	22.3082	0.3657
ABC_R2H0_10_D	2	14.5750	24.8332	0.3731
ABC_R2H0_11	2	8.6991	24.0659	0.3860
ABC_R2H0_11_A	2	13.1373	24.9510	0.3795
ABC_R2H0_11_B	2	12.9817	22.3702	0.3712
ABC_R2H0_11_C	2	4.1868	23.1979	0.3916
ABC_R2H0_11_D	2	4.4907	25.7445	0.4016
ABC_R2H0_1_A	2	114.1378	24.9402	0.3582
