#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: R2Test4
Date: 2022-09-09T08:17:09.405868Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2017	23.2139
H_R2H0_P2	124.2137	25.8680
PB_P1	81.8911	10.5134
PB_P2	122.3796	1.0955
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2086	29.7307	-0.0031
Sensor	1	19.2310	28.9161	-0.0019
Sensor	1	29.1010	28.2746	-0.0010
Sensor	1	39.2870	27.7749	0.0023
Sensor	1	49.3254	27.4478	0.0027
Sensor	1	59.3616	27.3034	0.0020
Sensor	1	69.3964	27.2970	0.0001
Sensor	1	79.4196	27.4713	0.0009
Sensor	1	89.5958	27.8213	0.0022
Sensor	1	99.6162	28.3201	0.0006
Sensor	1	109.6090	28.9992	-0.0011
Sensor	1	119.7509	29.8576	-0.0030
Sensor	1	0.2936	0.1568	-0.0016
Sensor	1	127.2923	0.1773	-0.0002
Sensor	1	5.7885	0.9680	-0.0061
Sensor	1	15.7922	0.1288	0.0002
Sensor	1	25.6363	-0.5454	0.0013
Sensor	1	35.8154	-1.0687	0.0024
Sensor	1	45.9984	-1.3987	0.0052
Sensor	1	56.0266	-1.5976	0.0018
Sensor	1	75.9797	9.4572	0.0007
Sensor	1	77.2702	9.2726	0.0014
Sensor	1	90.6707	38.5421	0.0031
Sensor	1	97.7373	12.4108	-0.0033
Sensor	1	107.6885	12.9709	-0.0025
Sensor	1	117.8593	13.6946	-0.0028
ABC_R2H0_0	2	120.0059	24.1926	0.3594
ABC_R2H0_0_A	2	124.2034	25.8652	0.3544
ABC_R2H0_0_B	2	124.5285	23.3164	0.3553
ABC_R2H0_0_C	2	115.7163	22.5400	0.3623
ABC_R2H0_0_D	2	115.5756	25.0486	0.3656
ABC_R2H0_1	2	109.9143	23.3350	0.3702
ABC_R2H0_10	2	18.8182	23.2408	0.3831
ABC_R2H0_10_A	2	23.2366	24.1914	0.3815
ABC_R2H0_10_B	2	23.1370	21.6297	0.3804
ABC_R2H0_10_C	2	14.3246	22.3080	0.3838
ABC_R2H0_10_D	2	14.5748	24.8340	0.3867
ABC_R2H0_11	2	8.6998	24.0663	0.3993
ABC_R2H0_11_A	2	13.1368	24.9513	0.3916
ABC_R2H0_11_B	2	12.9825	22.3699	0.3886
ABC_R2H0_11_C	2	4.1887	23.1973	0.4069
ABC_R2H0_11_D	2	4.4913	25.7466	0.4102
ABC_R2H0_1_A	2	114.1378	24.9384	0.3701
ABC_R2H0_1_B	2	114.3995	22.3789	0.3664
ABC_R2H0_1_C	2	105.6016	21.7479	0.3725
ABC_R2H0_1_D	2	105.5183	24.2747	0.3717
ABC_R2H0_2	2	99.8193	22.6601	0.3736
ABC_R2H0_2_A	2	104.0673	24.1923	0.3738
ABC_R2H0_2_B	2	104.2845	21.6170	0.3720
ABC_R2H0_2_C	2	95.4772	21.1319	0.3732
ABC_R2H0_2_D	2	95.4484	23.6991	0.3752
ABC_R2H0_3	2	89.7181	22.1644	0.3773
ABC_R2H0_3_A	2	93.9817	23.6121	0.3765
ABC_R2H0_3_B	2	94.1793	21.0729	0.3755
ABC_R2H0_3_C	2	85.3540	20.7019	0.3771
ABC_R2H0_3_D	2	85.3572	23.2705	0.3801
ABC_R2H0_4	2	79.5937	21.8106	0.3750
ABC_R2H0_4_A	2	83.8966	23.2057	0.3773
ABC_R2H0_4_B	2	84.0250	20.6055	0.3758
ABC_R2H0_4_C	2	75.2032	20.4321	0.3734
ABC_R2H0_4_D	2	75.2498	22.9989	0.3737
ABC_R2H0_5	2	69.4655	21.6218	0.3752
ABC_R2H0_5_A	2	73.7796	22.9430	0.3754
ABC_R2H0_5_B	2	73.8896	20.3644	0.3753
ABC_R2H0_5_C	2	65.0580	20.3194	0.3729
ABC_R2H0_5_D	2	65.1346	22.8605	0.3770
ABC_R2H0_6	2	59.3412	21.6231	0.3767
ABC_R2H0_6_A	2	63.6824	22.8716	0.3775
ABC_R2H0_6_B	2	63.7412	20.2947	0.3738
ABC_R2H0_6_C	2	54.9110	20.3898	0.3753
ABC_R2H0_6_D	2	55.0302	22.9364	0.3802
ABC_R2H0_7	2	49.2046	21.7669	0.3800
ABC_R2H0_7_A	2	53.5605	22.9480	0.3813
ABC_R2H0_7_B	2	53.5780	20.3513	0.3769
ABC_R2H0_7_C	2	44.7531	20.6136	0.3785
ABC_R2H0_7_D	2	44.9267	23.1546	0.3835
ABC_R2H0_8	2	39.0727	22.0901	0.3813
ABC_R2H0_8_A	2	43.4536	23.1918	0.3847
ABC_R2H0_8_B	2	43.4250	20.6146	0.3791
ABC_R2H0_8_C	2	34.6044	21.0119	0.3772
ABC_R2H0_8_D	2	34.8080	23.5420	0.3844
ABC_R2H0_9	2	28.9485	22.5804	0.3824
ABC_R2H0_9_A	2	33.3485	23.6102	0.3836
ABC_R2H0_9_B	2	33.2684	21.0452	0.3789
ABC_R2H0_9_C	2	24.4631	21.5668	0.3838
ABC_R2H0_9_D	2	24.7141	24.0992	0.3834
HCC_R2H0_2	2	22.6437	7.0036	0.3621
HCC_R2H0_2_A	2	25.4812	9.4188	0.3560
HCC_R2H0_2_B	2	25.6916	4.7931	0.3586
HCC_R2H0_2_C	2	19.7699	4.6508	0.3726
HCC_R2H0_2_D	2	19.6322	9.1517	0.3612
HCC_R2H0_3	2	12.2681	11.6036	0.3681
HCC_R2H0_3_A	2	15.0950	13.9978	0.3671
HCC_R2H0_3_B	2	15.3079	9.3993	0.3637
HCC_R2H0_3_C	2	9.4172	9.2559	0.3703
HCC_R2H0_3_D	2	9.2524	13.7614	0.3712
H_R2H0_0	2	2.7641	10.6469	0.3549
H_R2H0_0_A	2	2.5408	8.2775	0.3670
H_R2H0_0_B	2	2.6263	9.7822	0.3567
H_R2H0_0_C	2	2.7503	11.0244	0.3479
H_R2H0_0_D	2	3.1391	13.5034	0.3479
H_R2H0_1	2	87.5127	12.7989	0.4054
H_R2H0_1_A	2	83.8925	12.6410	0.4069
H_R2H0_1_B	2	87.1335	12.7763	0.4084
H_R2H0_1_C	2	87.9073	12.8164	0.4068
H_R2H0_1_D	2	91.1175	12.9620	0.3995
H_R2H0_2	2	117.8078	16.3993	0.3704
H_R2H0_2_A	2	115.1735	16.1896	0.3739
H_R2H0_2_B	2	115.5588	16.6209	0.3711
H_R2H0_2_C	2	120.0064	16.1185	0.3697
H_R2H0_2_D	2	120.4927	16.6681	0.3670
PB_1	2	123.4695	5.6680	0.3560
PB_1_A	2	123.5925	1.4318	0.4274
PB_1_B	2	123.5901	1.4322	0.4274
PB_1_C	2	123.2618	7.0959	0.3497
PB_1_D	2	123.4334	12.7121	0.2194
PB_2	2	109.6855	11.8189	0.2374
PB_3	2	87.1045	10.4289	0.4392
PB_3_A	2	83.2107	10.1775	0.4423
PB_3_B	2	86.7248	10.4479	0.4567
PB_3_C	2	87.6794	10.4835	0.4507
PB_3_D	2	90.8032	10.6068	0.4070
PB_4	2	85.8713	1.3773	0.4949
PB_4_A	2	86.9718	3.9488	0.4807
PB_4_B	2	87.4084	-1.0223	0.4880
PB_4_C	2	84.6619	-1.1983	0.4991
PB_4_D	2	84.4432	3.7811	0.5120
PB_5	2	60.2914	2.8787	0.4536
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1110	5.7786	2.8363
C2	4	117.8773	9.2526	2.7850
C3	4	103.9998	10.0085	2.8467
C4	4	104.4880	1.4803	2.9134
Shield_A	4	63.1656	-1.4251	5.5949
Shield_B	4	68.5394	-0.9602	5.5539
Shield_C	4	76.5597	-0.8421	5.6269
Shield_D	4	63.0864	5.5361	5.5402
Shield_E	4	72.0999	5.7195	5.3835
Shield_F	4	76.5969	5.2749	5.4942
