#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: SFUR2SQ
Date: 2022-09-01T03:50:17.710822Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope Flash 302
Run Number: 3
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1998	23.2165
H_R2H0_P2	124.2065	25.8706
PB_P1	81.8858	10.5165
PB_P2	122.3709	1.0990
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2168	29.7291	0.0052
Sensor	1	19.2303	28.9127	-0.0016
Sensor	1	29.0986	28.2726	-0.0005
Sensor	1	39.2867	27.7726	0.0001
Sensor	1	49.3234	27.4475	-0.0160
Sensor	1	59.3584	27.3023	0.0053
Sensor	1	69.3889	27.2959	0.0040
Sensor	1	79.4192	27.4707	0.0027
Sensor	1	89.5947	27.8201	-0.0007
Sensor	1	99.6042	28.3190	0.0047
Sensor	1	109.6027	29.0128	0.0046
Sensor	1	119.7404	29.8505	-0.0078
ABC_R2H0_0	2	120.0064	24.1913	0.3384
ABC_R2H0_0_A	2	124.2029	25.8618	0.3365
ABC_R2H0_0_B	2	124.5304	23.3154	0.3317
ABC_R2H0_0_C	2	115.7167	22.5384	0.3397
ABC_R2H0_0_D	2	115.5756	25.0495	0.3458
ABC_R2H0_1	2	109.9151	23.3345	0.3464
ABC_R2H0_10	2	18.8182	23.2409	0.3630
ABC_R2H0_10_A	2	23.2358	24.1917	0.3634
ABC_R2H0_10_B	2	23.1371	21.6295	0.3556
ABC_R2H0_10_C	2	14.3247	22.3079	0.3636
ABC_R2H0_10_D	2	14.5751	24.8344	0.3693
ABC_R2H0_11	2	8.6994	24.0661	0.3806
ABC_R2H0_11_A	2	13.1362	24.9514	0.3759
ABC_R2H0_11_B	2	12.9829	22.3691	0.3657
ABC_R2H0_11_C	2	4.1885	23.1978	0.3858
ABC_R2H0_11_D	2	4.4900	25.7462	0.3950
ABC_R2H0_1_A	2	114.1383	24.9372	0.3505
ABC_R2H0_1_B	2	114.3997	22.3786	0.3373
ABC_R2H0_1_C	2	105.6029	21.7478	0.3447
ABC_R2H0_1_D	2	105.5194	24.2743	0.3531
ABC_R2H0_2	2	99.8205	22.6591	0.3485
ABC_R2H0_2_A	2	104.0673	24.1906	0.3484
ABC_R2H0_2_B	2	104.2857	21.6173	0.3404
ABC_R2H0_2_C	2	95.4793	21.1304	0.3529
ABC_R2H0_2_D	2	95.4498	23.6978	0.3523
ABC_R2H0_3	2	89.7182	22.1636	0.3512
ABC_R2H0_3_A	2	93.9828	23.6114	0.3538
ABC_R2H0_3_B	2	94.1786	21.0736	0.3454
ABC_R2H0_3_C	2	85.3538	20.7005	0.3463
ABC_R2H0_3_D	2	85.3576	23.2686	0.3593
ABC_R2H0_4	2	79.5934	21.8096	0.3471
ABC_R2H0_4_A	2	83.8967	23.2051	0.3538
ABC_R2H0_4_B	2	84.0250	20.6038	0.3395
ABC_R2H0_4_C	2	75.2020	20.4321	0.3440
ABC_R2H0_4_D	2	75.2498	22.9974	0.3510
ABC_R2H0_5	2	69.4655	21.6226	0.3466
ABC_R2H0_5_A	2	73.7808	22.9423	0.3511
ABC_R2H0_5_B	2	73.8897	20.3647	0.3414
ABC_R2H0_5_C	2	65.0576	20.3201	0.3410
ABC_R2H0_5_D	2	65.1340	22.8633	0.3530
ABC_R2H0_6	2	59.3413	21.6233	0.3503
ABC_R2H0_6_A	2	63.6833	22.8708	0.3519
ABC_R2H0_6_B	2	63.7409	20.2968	0.3400
ABC_R2H0_6_C	2	54.9114	20.3900	0.3483
ABC_R2H0_6_D	2	55.0297	22.9357	0.3608
ABC_R2H0_7	2	49.2048	21.7661	0.3532
ABC_R2H0_7_A	2	53.5614	22.9477	0.3570
ABC_R2H0_7_B	2	53.5772	20.3509	0.3423
ABC_R2H0_7_C	2	44.7535	20.6140	0.3507
ABC_R2H0_7_D	2	44.9271	23.1520	0.3627
ABC_R2H0_8	2	39.0737	22.0892	0.3571
ABC_R2H0_8_A	2	43.4552	23.1911	0.3655
ABC_R2H0_8_B	2	43.4248	20.6141	0.3481
ABC_R2H0_8_C	2	34.6064	21.0104	0.3520
ABC_R2H0_8_D	2	34.8084	23.5410	0.3627
ABC_R2H0_9	2	28.9492	22.5804	0.3592
ABC_R2H0_9_A	2	33.3483	23.6109	0.3619
ABC_R2H0_9_B	2	33.2687	21.0456	0.3523
ABC_R2H0_9_C	2	24.4647	21.5668	0.3587
ABC_R2H0_9_D	2	24.7148	24.0984	0.3640
HCC_R2H0_2	2	22.6068	7.0015	0.2955
HCC_R2H0_2_A	2	25.3909	9.4167	0.2954
HCC_R2H0_2_B	2	25.6933	4.7928	0.2853
HCC_R2H0_2_C	2	19.7231	4.6589	0.2984
HCC_R2H0_2_D	2	19.6200	9.1374	0.3029
HCC_R2H0_3	2	12.2228	11.6017	0.3144
HCC_R2H0_3_A	2	15.0210	14.0047	0.3192
HCC_R2H0_3_B	2	15.3078	9.4009	0.3031
HCC_R2H0_3_C	2	9.3231	9.2636	0.3083
HCC_R2H0_3_D	2	9.2394	13.7376	0.3269
H_R2H0_0	2	2.8875	10.6218	0.2962
H_R2H0_0_A	2	2.6142	8.2722	0.2973
H_R2H0_0_B	2	2.8481	9.7501	0.2917
H_R2H0_0_C	2	2.9231	10.9875	0.2951
H_R2H0_0_D	2	3.1644	13.4772	0.3007
H_R2H0_1	2	87.5112	12.8003	0.3557
H_R2H0_1_A	2	83.8902	12.6385	0.3570
H_R2H0_1_B	2	87.1305	12.7875	0.3587
H_R2H0_1_C	2	87.9071	12.8148	0.3578
H_R2H0_1_D	2	91.1171	12.9604	0.3491
H_R2H0_2	2	117.7958	16.3701	0.3281
H_R2H0_2_A	2	115.0076	15.9721	0.3351
H_R2H0_2_B	2	115.6130	16.7329	0.3262
H_R2H0_2_C	2	119.9781	16.0048	0.3265
H_R2H0_2_D	2	120.5843	16.7706	0.3245
PB_1	2	123.4710	5.6679	0.2835
PB_1_A	2	123.5946	1.4289	0.3412
PB_1_B	2	123.5918	1.4342	0.3445
PB_1_C	2	123.2640	7.0971	0.2791
PB_1_D	2	123.4337	12.7115	0.1692
PB_2	2	109.6868	11.8191	0.1730
PB_3	2	87.1066	10.4276	0.3795
PB_3_A	2	83.2142	10.1657	0.3829
PB_3_B	2	86.7263	10.4491	0.3976
PB_3_C	2	87.6803	10.4856	0.3899
PB_3_D	2	90.8054	10.6100	0.3476
PB_4	2	85.8727	1.3799	0.4094
PB_4_A	2	86.9741	3.9518	0.3991
PB_4_B	2	87.4095	-1.0207	0.3964
PB_4_C	2	84.6636	-1.1956	0.4085
PB_4_D	2	84.4436	3.7841	0.4336
PB_5	2	60.2921	2.8829	0.3860
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1093	5.7799	2.7649
C2	4	117.8790	9.2520	2.7251
C3	4	104.0015	10.0089	2.7883
C4	4	104.4877	1.4812	2.8316
Shield_A	4	63.1648	-1.4202	5.5079
Shield_B	4	68.5400	-0.9573	5.4665
Shield_C	4	76.5588	-0.8379	5.5542
Shield_D	4	63.0879	5.5396	5.4752
Shield_E	4	72.1005	5.7226	5.3014
Shield_F	4	76.5973	5.2783	5.4245
