#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: a
Date: 2022-08-03T19:49:07.126267Z
Institute: SFU
Operator: a
Instrument Type: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1334	23.1541
H_R2H0_P2	124.1462	25.8147
PB_P1	81.8463	10.4275
PB_P2	122.2134	1.0945
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.0998	28.8750	0.0056
Sensor	1	19.1299	28.0561	-0.0117
Sensor	1	29.1650	27.4035	0.0032
Sensor	1	39.2161	26.9150	0.0016
Sensor	1	49.2710	26.5926	0.0022
Sensor	1	59.3279	26.4374	0.0025
Sensor	1	69.3864	26.4476	-0.0007
Sensor	1	79.4472	26.6217	-0.0024
Sensor	1	89.5029	26.9623	0.0005
Sensor	1	99.5473	27.4690	-0.0021
Sensor	1	109.5840	28.1427	-0.0001
Sensor	1	119.6092	28.9790	0.0015
ABC_R2H0_0	2	119.9447	24.1469	0.3734
ABC_R2H0_0_A	2	124.1500	25.8136	0.3678
ABC_R2H0_0_B	2	124.4434	23.2824	0.3725
ABC_R2H0_0_C	2	115.6634	22.4912	0.3818
ABC_R2H0_0_D	2	115.5221	25.0006	0.3715
ABC_R2H0_1	2	109.8616	23.2863	0.3855
ABC_R2H0_10	2	18.7650	23.1884	0.3963
ABC_R2H0_10_A	2	23.1837	24.1392	0.3900
ABC_R2H0_10_B	2	23.0855	21.5760	0.3956
ABC_R2H0_10_C	2	14.2703	22.2561	0.4063
ABC_R2H0_10_D	2	14.5208	24.7823	0.3935
ABC_R2H0_11	2	8.6483	24.0112	0.4189
ABC_R2H0_11_A	2	13.0833	24.8988	0.4064
ABC_R2H0_11_B	2	12.9312	22.3074	0.4156
ABC_R2H0_11_C	2	4.1327	23.1452	0.4330
ABC_R2H0_11_D	2	4.4459	25.6933	0.4206
ABC_R2H0_1_A	2	114.0862	24.8900	0.3906
ABC_R2H0_1_B	2	114.3466	22.3299	0.3851
ABC_R2H0_1_C	2	105.5489	21.6987	0.3899
ABC_R2H0_1_D	2	105.4649	24.2265	0.3762
ABC_R2H0_2	2	99.7670	22.6107	0.3846
ABC_R2H0_2_A	2	104.0135	24.1430	0.3831
ABC_R2H0_2_B	2	104.2321	21.5690	0.3865
ABC_R2H0_2_C	2	95.4258	21.0806	0.3874
ABC_R2H0_2_D	2	95.3968	23.6501	0.3813
ABC_R2H0_3	2	89.6662	22.1142	0.3880
ABC_R2H0_3_A	2	93.9300	23.5626	0.3831
ABC_R2H0_3_B	2	94.1273	21.0228	0.3930
ABC_R2H0_3_C	2	85.3021	20.6517	0.3900
ABC_R2H0_3_D	2	85.3053	23.2196	0.3860
ABC_R2H0_4	2	79.5403	21.7598	0.3879
ABC_R2H0_4_A	2	83.8443	23.1557	0.3869
ABC_R2H0_4_B	2	83.9714	20.5535	0.3916
ABC_R2H0_4_C	2	75.1496	20.3816	0.3867
ABC_R2H0_4_D	2	75.1958	22.9484	0.3865
ABC_R2H0_5	2	69.4120	21.5723	0.3865
ABC_R2H0_5_A	2	73.7278	22.8936	0.3928
ABC_R2H0_5_B	2	73.8360	20.3140	0.3901
ABC_R2H0_5_C	2	65.0033	20.2701	0.3864
ABC_R2H0_5_D	2	65.0808	22.8117	0.3765
ABC_R2H0_6	2	59.2891	21.5731	0.3849
ABC_R2H0_6_A	2	63.6310	22.8208	0.3810
ABC_R2H0_6_B	2	63.6882	20.2460	0.3818
ABC_R2H0_6_C	2	54.8594	20.3403	0.3937
ABC_R2H0_6_D	2	54.9779	22.8855	0.3830
ABC_R2H0_7	2	49.1519	21.7152	0.3870
ABC_R2H0_7_A	2	53.5086	22.8970	0.3852
ABC_R2H0_7_B	2	53.5252	20.2994	0.3862
ABC_R2H0_7_C	2	44.6999	20.5622	0.3912
ABC_R2H0_7_D	2	44.8740	23.1024	0.3854
ABC_R2H0_8	2	39.0212	22.0382	0.3913
ABC_R2H0_8_A	2	43.4026	23.1402	0.3922
ABC_R2H0_8_B	2	43.3732	20.5638	0.3916
ABC_R2H0_8_C	2	34.5531	20.9599	0.3955
ABC_R2H0_8_D	2	34.7559	23.4888	0.3859
ABC_R2H0_9	2	28.8988	22.5280	0.3930
ABC_R2H0_9_A	2	33.2959	23.5590	0.3928
ABC_R2H0_9_B	2	33.2173	20.9927	0.3945
ABC_R2H0_9_C	2	24.4160	21.5144	0.3975
ABC_R2H0_9_D	2	24.6660	24.0457	0.3873
HCC_R2H0_2	2	22.5534	6.9491	0.4177
HCC_R2H0_2_A	2	25.3389	9.3640	0.4010
HCC_R2H0_2_B	2	25.6382	4.7411	0.4195
HCC_R2H0_2_C	2	19.6696	4.6058	0.4375
HCC_R2H0_2_D	2	19.5669	9.0855	0.4129
HCC_R2H0_3	2	12.1705	11.5493	0.4146
HCC_R2H0_3_A	2	14.9660	13.9537	0.4016
HCC_R2H0_3_B	2	15.2568	9.3463	0.4168
HCC_R2H0_3_C	2	9.2708	9.2123	0.4212
HCC_R2H0_3_D	2	9.1886	13.6850	0.4187
H_R2H0_0	2	2.8385	10.5615	0.4137
H_R2H0_0_A	2	2.5580	8.1944	0.4259
H_R2H0_0_B	2	2.7989	9.6961	0.4133
H_R2H0_0_C	2	2.8749	10.9337	0.4123
H_R2H0_0_D	2	3.1221	13.4219	0.4034
H_R2H0_1	2	87.4605	12.7518	0.4464
H_R2H0_1_A	2	83.8420	12.5900	0.4494
H_R2H0_1_B	2	87.0795	12.7390	0.4496
H_R2H0_1_C	2	87.8548	12.7659	0.4488
H_R2H0_1_D	2	91.0656	12.9124	0.4378
H_R2H0_2	2	117.7442	16.3229	0.4083
H_R2H0_2_A	2	114.9568	15.9252	0.4163
H_R2H0_2_B	2	115.5610	16.6859	0.4057
H_R2H0_2_C	2	119.9269	15.9570	0.4099
H_R2H0_2_D	2	120.5321	16.7238	0.4015
PB_1	2	123.3756	6.5986	0.4031
PB_1_A	2	123.5353	1.3745	0.4982
PB_1_B	2	123.4003	5.3161	0.4387
PB_1_C	2	123.1975	7.0435	0.4042
PB_1_D	2	123.3693	12.6603	0.2713
PB_2	2	109.6042	11.7626	0.2760
PB_3	2	87.0409	10.3622	0.4831
PB_3_A	2	83.1478	10.0973	0.4920
PB_3_B	2	86.6609	10.3842	0.5001
PB_3_C	2	87.6144	10.4211	0.4849
PB_3_D	2	90.7404	10.5463	0.4554
PB_4	2	85.8104	1.3149	0.5579
PB_4_A	2	86.9113	3.8853	0.5353
PB_4_B	2	87.3480	-1.0840	0.5594
PB_4_C	2	84.6000	-1.2606	0.5691
PB_4_D	2	84.3825	3.7190	0.5679
PB_5	2	60.2306	2.8115	0.5227
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.0411	5.7260	2.9031
C2	4	117.8107	9.1990	2.8441
C3	4	103.9332	9.9519	2.8976
C4	4	104.4219	1.4211	2.9882
Shield_A	4	63.0992	-1.4938	5.6682
Shield_B	4	68.4741	-1.0276	5.6213
Shield_C	4	76.4912	-0.9065	5.7047
Shield_D	4	63.0166	5.4675	5.5984
