#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: afsfa
Date: 2022-08-31T20:17:17.101418Z
Institute: SFU
Operator: fsf
Instrument Type: Smartscope Flash 302
Run Number: 24
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1997	23.2163
H_R2H0_P2	124.2073	25.8670
PB_P1	81.9073	10.4841
PB_P2	122.3609	1.1069
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1007	28.8737	-0.0038
Sensor	1	19.1287	28.0555	0.0012
Sensor	1	29.1655	27.4026	0.0029
Sensor	1	39.2148	26.9142	0.0037
Sensor	1	49.2687	26.5925	0.0014
Sensor	1	59.3266	26.4376	-0.0017
Sensor	1	69.3869	26.4452	-0.0034
Sensor	1	79.4452	26.6208	-0.0047
Sensor	1	89.4993	26.9627	0.0018
Sensor	1	99.5448	27.4676	0.0022
Sensor	1	109.5824	28.1397	0.0008
Sensor	1	119.6085	28.9773	-0.0004
ABC_R2H0_0	2	120.0096	24.1936	0.3755
ABC_R2H0_0_A	2	124.2137	25.8604	0.3658
ABC_R2H0_0_B	2	124.5078	23.3293	0.3754
ABC_R2H0_0_C	2	115.7287	22.5386	0.3843
ABC_R2H0_0_D	2	115.5883	25.0461	0.3765
ABC_R2H0_1	2	109.9257	23.3323	0.3871
ABC_R2H0_10	2	18.8307	23.2393	0.3960
ABC_R2H0_10_A	2	23.2484	24.1903	0.3874
ABC_R2H0_10_B	2	23.1495	21.6292	0.4000
ABC_R2H0_10_C	2	14.3372	22.3073	0.4038
ABC_R2H0_10_D	2	14.5876	24.8303	0.3926
ABC_R2H0_11	2	8.7135	24.0622	0.4123
ABC_R2H0_11_A	2	13.1491	24.9506	0.4014
ABC_R2H0_11_B	2	12.9950	22.3591	0.4076
ABC_R2H0_11_C	2	4.1982	23.1972	0.4277
ABC_R2H0_11_D	2	4.5117	25.7418	0.4125
ABC_R2H0_1_A	2	114.1501	24.9360	0.3841
ABC_R2H0_1_B	2	114.4106	22.3763	0.3869
ABC_R2H0_1_C	2	105.6128	21.7465	0.3972
ABC_R2H0_1_D	2	105.5293	24.2705	0.3803
ABC_R2H0_2	2	99.8310	22.6584	0.3893
ABC_R2H0_2_A	2	104.0779	24.1902	0.3859
ABC_R2H0_2_B	2	104.2967	21.6164	0.3917
ABC_R2H0_2_C	2	95.4890	21.1303	0.3967
ABC_R2H0_2_D	2	95.4603	23.6968	0.3829
ABC_R2H0_3	2	89.7298	22.1623	0.3918
ABC_R2H0_3_A	2	93.9950	23.6102	0.3888
ABC_R2H0_3_B	2	94.1903	21.0724	0.3962
ABC_R2H0_3_C	2	85.3655	20.7000	0.3949
ABC_R2H0_3_D	2	85.3684	23.2669	0.3872
ABC_R2H0_4	2	79.6060	21.8083	0.3904
ABC_R2H0_4_A	2	83.9086	23.2042	0.3894
ABC_R2H0_4_B	2	84.0372	20.6034	0.3966
ABC_R2H0_4_C	2	75.2158	20.4304	0.3928
ABC_R2H0_4_D	2	75.2625	22.9953	0.3826
ABC_R2H0_5	2	69.4779	21.6200	0.3873
ABC_R2H0_5_A	2	73.7939	22.9414	0.3841
ABC_R2H0_5_B	2	73.9013	20.3625	0.3938
ABC_R2H0_5_C	2	65.0700	20.3181	0.3901
ABC_R2H0_5_D	2	65.1463	22.8582	0.3814
ABC_R2H0_6	2	59.3528	21.6221	0.3881
ABC_R2H0_6_A	2	63.6947	22.8699	0.3838
ABC_R2H0_6_B	2	63.7514	20.2950	0.3885
ABC_R2H0_6_C	2	54.9233	20.3889	0.3932
ABC_R2H0_6_D	2	55.0418	22.9347	0.3870
ABC_R2H0_7	2	49.2165	21.7648	0.3915
ABC_R2H0_7_A	2	53.5726	22.9463	0.3895
ABC_R2H0_7_B	2	53.5892	20.3497	0.3916
ABC_R2H0_7_C	2	44.7645	20.6131	0.3938
ABC_R2H0_7_D	2	44.9398	23.1499	0.3908
ABC_R2H0_8	2	39.0855	22.0885	0.3883
ABC_R2H0_8_A	2	43.4666	23.1903	0.3874
ABC_R2H0_8_B	2	43.4365	20.6149	0.3888
ABC_R2H0_8_C	2	34.6185	21.0100	0.3930
ABC_R2H0_8_D	2	34.8206	23.5386	0.3839
ABC_R2H0_9	2	28.9611	22.5790	0.3951
ABC_R2H0_9_A	2	33.3608	23.6089	0.3920
ABC_R2H0_9_B	2	33.2812	21.0444	0.3984
ABC_R2H0_9_C	2	24.4787	21.5660	0.4020
ABC_R2H0_9_D	2	24.7238	24.0966	0.3879
HCC_R2H0_2	2	22.6178	6.9996	0.4355
HCC_R2H0_2_A	2	25.4044	9.4143	0.4154
HCC_R2H0_2_B	2	25.7016	4.7935	0.4391
HCC_R2H0_2_C	2	19.7344	4.6570	0.4579
HCC_R2H0_2_D	2	19.6307	9.1337	0.4295
HCC_R2H0_3	2	12.2346	11.5999	0.4300
HCC_R2H0_3_A	2	15.0321	14.0011	0.4163
HCC_R2H0_3_B	2	15.3209	9.3997	0.4363
HCC_R2H0_3_C	2	9.3345	9.2630	0.4413
HCC_R2H0_3_D	2	9.2508	13.7358	0.4261
H_R2H0_0	2	2.9021	10.6136	0.4226
H_R2H0_0_A	2	2.6222	8.2492	0.4407
H_R2H0_0_B	2	2.8620	9.7480	0.4279
H_R2H0_0_C	2	2.9388	10.9853	0.4151
H_R2H0_0_D	2	3.1854	13.4721	0.4066
H_R2H0_1	2	87.5241	12.7981	0.4567
H_R2H0_1_A	2	83.9047	12.6348	0.4612
H_R2H0_1_B	2	87.1427	12.7856	0.4608
H_R2H0_1_C	2	87.9195	12.8133	0.4574
H_R2H0_1_D	2	91.1293	12.9586	0.4475
H_R2H0_2	2	117.8079	16.3685	0.4173
H_R2H0_2_A	2	115.0195	15.9717	0.4223
H_R2H0_2_B	2	115.6257	16.7313	0.4101
H_R2H0_2_C	2	119.9896	16.0028	0.4236
H_R2H0_2_D	2	120.5966	16.7683	0.4132
PB_1	2	123.4237	6.6586	0.4284
PB_1_A	2	123.5849	1.4358	0.5354
PB_1_B	2	123.4494	5.3740	0.4668
PB_1_C	2	123.2459	7.1040	0.4337
PB_1_D	2	123.4145	12.7205	0.2776
PB_2	2	109.6510	11.8211	0.2898
PB_3	2	87.0885	10.4119	0.5020
PB_3_A	2	83.1975	10.1477	0.5115
PB_3_B	2	86.7077	10.4327	0.5164
PB_3_C	2	87.6629	10.4702	0.5124
PB_3_D	2	90.7859	10.5971	0.4676
PB_4	2	85.8612	1.3646	0.5904
PB_4_A	2	86.9617	3.9374	0.5649
PB_4_B	2	87.3987	-1.0328	0.5938
PB_4_C	2	84.6532	-1.2113	0.6028
PB_4_D	2	84.4313	3.7652	0.6000
PB_5	2	60.2793	2.8506	0.5331
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.0912	5.7848	2.9302
C2	4	117.8612	9.2574	2.8640
C3	4	103.9837	10.0074	2.9216
C4	4	104.4750	1.4791	3.0177
Shield_A	4	63.1562	-1.4507	5.7043
Shield_B	4	68.5286	-0.9847	5.6542
Shield_C	4	76.5482	-0.8592	5.7409
Shield_D	4	63.0729	5.5094	5.6238
Shield_E	4	72.0852	5.6970	5.4529
Shield_F	4	76.5826	5.2551	5.5729
