#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: ds
Date: 2022-08-31T19:33:56.207029Z
Institute: TRIUMF
Operator: fwds
Instrument Type: Mitutoyo CMM
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2054	23.2177
H_R2H0_P2	124.2139	25.8718
PB_P1	81.8871	10.5172
PB_P2	122.3647	1.0806
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.4972	28.9935	-0.0007
Sensor	1	19.8997	27.9150	0.0011
Sensor	1	29.8020	27.1861	-0.0004
Sensor	1	39.9343	26.8166	0.0007
Sensor	1	49.7123	26.5458	0.0002
Sensor	1	59.6241	26.7502	-0.0006
Sensor	1	70.2845	26.5935	-0.0008
Sensor	1	79.9185	27.1414	-0.0012
Sensor	1	89.0938	27.4075	0.0026
Sensor	1	99.2837	27.7560	-0.0006
Sensor	1	109.6474	28.7084	-0.0004
Sensor	1	119.0227	29.4226	0.0002
ABC_R2H0_0	2	119.9901	24.2003	0.3673
ABC_R2H0_0_A	2	124.2153	25.8703	0.3632
ABC_R2H0_0_B	2	124.4624	23.3055	0.3657
ABC_R2H0_0_C	2	115.7131	22.5397	0.3713
ABC_R2H0_0_D	2	115.5697	25.0859	0.3687
ABC_R2H0_1	2	109.9156	23.3540	0.3749
ABC_R2H0_10	2	18.8225	23.2595	0.3882
ABC_R2H0_10_A	2	23.2619	24.2216	0.3860
ABC_R2H0_10_B	2	23.0778	21.6429	0.3860
ABC_R2H0_10_C	2	14.3426	22.3199	0.3898
ABC_R2H0_10_D	2	14.6075	24.8535	0.3907
ABC_R2H0_11	2	8.7111	24.0905	0.4081
ABC_R2H0_11_A	2	13.1548	24.9793	0.3994
ABC_R2H0_11_B	2	12.9795	22.3950	0.3982
ABC_R2H0_11_C	2	4.1953	23.2319	0.4174
ABC_R2H0_11_D	2	4.5149	25.7559	0.4171
ABC_R2H0_1_A	2	114.1682	24.9542	0.3746
ABC_R2H0_1_B	2	114.3849	22.3915	0.3730
ABC_R2H0_1_C	2	105.6139	21.7708	0.3768
ABC_R2H0_1_D	2	105.4953	24.2995	0.3754
ABC_R2H0_2	2	99.8171	22.6765	0.3780
ABC_R2H0_2_A	2	104.0755	24.2017	0.3776
ABC_R2H0_2_B	2	104.2501	21.6361	0.3786
ABC_R2H0_2_C	2	95.5067	21.1652	0.3777
ABC_R2H0_2_D	2	95.4359	23.7032	0.3781
ABC_R2H0_3	2	89.7080	22.1647	0.3801
ABC_R2H0_3_A	2	94.0060	23.6312	0.3819
ABC_R2H0_3_B	2	94.1439	21.0646	0.3791
ABC_R2H0_3_C	2	85.3599	20.7198	0.3790
ABC_R2H0_3_D	2	85.3223	23.2433	0.3803
ABC_R2H0_4	2	79.5851	21.8156	0.3774
ABC_R2H0_4_A	2	83.8988	23.2013	0.3820
ABC_R2H0_4_B	2	84.0029	20.6351	0.3766
ABC_R2H0_4_C	2	75.2056	20.4471	0.3756
ABC_R2H0_4_D	2	75.2332	22.9788	0.3756
ABC_R2H0_5	2	69.4804	21.6433	0.3774
ABC_R2H0_5_A	2	73.8069	22.9562	0.3791
ABC_R2H0_5_B	2	73.9071	20.3747	0.3762
ABC_R2H0_5_C	2	65.0832	20.3455	0.3763
ABC_R2H0_5_D	2	65.1243	22.8966	0.3779
ABC_R2H0_6	2	59.3480	21.6395	0.3787
ABC_R2H0_6_A	2	63.6947	22.8862	0.3787
ABC_R2H0_6_B	2	63.7306	20.3020	0.3768
ABC_R2H0_6_C	2	54.9376	20.4101	0.3792
ABC_R2H0_6_D	2	55.0292	22.9596	0.3802
ABC_R2H0_7	2	49.2054	21.7850	0.3819
ABC_R2H0_7_A	2	53.5802	22.9486	0.3832
ABC_R2H0_7_B	2	53.5367	20.3901	0.3798
ABC_R2H0_7_C	2	44.7877	20.6174	0.3813
ABC_R2H0_7_D	2	44.9169	23.1838	0.3834
ABC_R2H0_8	2	39.0867	22.1290	0.3853
ABC_R2H0_8_A	2	43.4661	23.2301	0.3869
ABC_R2H0_8_B	2	43.4065	20.6721	0.3829
ABC_R2H0_8_C	2	34.6528	21.0119	0.3838
ABC_R2H0_8_D	2	34.8214	23.6019	0.3879
ABC_R2H0_9	2	28.9546	22.5961	0.3863
ABC_R2H0_9_A	2	33.3718	23.6280	0.3875
ABC_R2H0_9_B	2	33.2488	21.0677	0.3866
ABC_R2H0_9_C	2	24.4892	21.5658	0.3840
ABC_R2H0_9_d	2	24.7087	24.1228	0.3870
HCC_R2H0_2	2	22.6218	7.0255	0.3750
HCC_R2H0_2_A	2	19.7319	4.6825	0.3883
HCC_R2H0_2_B	2	25.6896	4.8269	0.3734
HCC_R2H0_2_C	2	25.4064	9.4021	0.3633
HCC_R2H0_2_D	2	19.6594	9.1905	0.3749
HCC_R2H0_3	2	12.2455	11.6311	0.3801
HCC_R2H0_3_A	2	9.3606	9.2922	0.3848
HCC_R2H0_3_B	2	15.3102	9.4226	0.3762
HCC_R2H0_3_C	2	15.0457	14.0114	0.3752
HCC_R2H0_3_D	2	9.2657	13.7983	0.3843
H_R2H0_0	2	2.9710	11.2079	0.3691
H_R2H0_0_A	2	3.2758	13.5221	0.3634
H_R2H0_0_B	2	3.0851	12.0108	0.3644
H_R2H0_0_C	2	2.9066	10.7557	0.3668
H_R2H0_0_D	2	2.6164	8.5430	0.3819
H_R2H0_1	2	87.3453	12.9271	0.4183
H_R2H0_1_A	2	83.8534	12.7275	0.4190
H_R2H0_1_B	2	86.3788	12.8698	0.4234
H_R2H0_1_C	2	88.1774	13.0214	0.4193
H_R2H0_1_D	2	90.9717	13.0897	0.4115
H_R2H0_2	2	117.8358	16.3989	0.3820
H_R2H0_2_A	2	115.0685	16.0754	0.3876
H_R2H0_2_B	2	115.6694	16.6741	0.3816
H_R2H0_2_C	2	120.0737	16.1163	0.3808
H_R2H0_2_D	2	120.5316	16.7300	0.3778
PB_1	2	123.6587	2.9745	0.4294
PB_1_A	2	123.9435	0.9132	0.4622
PB_1_B	2	123.7604	1.9321	0.4443
PB_1_C	2	123.5468	3.6995	0.4230
PB_1_D	2	123.3841	5.3531	0.3880
PB_2	2	109.6999	11.8051	0.2490
PB_3	2	87.0290	10.4135	0.4476
PB_3_A	2	90.0011	10.5349	0.4228
PB_3_B	2	87.8572	10.4652	0.4552
PB_3_C	2	86.5909	10.3556	0.4625
PB_3_D	2	83.6668	10.2984	0.4499
PB_4	2	85.7623	1.3249	0.5073
PB_4_A	2	84.8748	-0.5139	0.5059
PB_4_B	2	86.8262	-0.4880	0.5024
PB_4_C	2	86.7393	3.0348	0.5013
PB_4_D	2	84.6089	3.2668	0.5194
PB_5	2	59.8339	2.9783	0.4450
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	117.7159	9.2909	2.7994
C2	4	118.1223	5.8573	2.8504
C3	4	103.7630	10.0146	2.8563
C4	4	104.2320	1.2808	2.9299
Shield	4	75.4737	1.4227	5.4771
