#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: fas
Date: 2022-09-03T01:06:50.040358Z
Institute: SFU
Operator: 2
Instrument Type: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2064	23.2102
H_R2H0_P2	124.2148	25.8645
PB_P1	81.8931	10.5100
PB_P2	122.3792	1.0920
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2169	29.7316	-0.0000
Sensor	1	19.2308	28.9135	-0.0000
Sensor	1	29.1001	28.2727	-0.0000
Sensor	1	39.2857	27.7725	-0.0000
Sensor	1	49.3236	27.4483	-0.0000
Sensor	1	59.3583	27.3015	-0.0000
Sensor	1	69.3896	27.2961	-0.0000
Sensor	1	79.4186	27.4708	-0.0000
Sensor	1	89.5947	27.8194	-0.0000
Sensor	1	99.6046	28.3196	-0.0000
Sensor	1	109.6032	29.0121	-0.0000
Sensor	1	119.7408	29.8498	-0.0000
ABC_R2H0_0	2	120.0066	24.1924	0.3627
ABC_R2H0_0_A	2	124.2032	25.8649	0.3557
ABC_R2H0_0_B	2	124.5298	23.3150	0.3587
ABC_R2H0_0_C	2	115.7177	22.5408	0.3667
ABC_R2H0_0_D	2	115.5756	25.0490	0.3694
ABC_R2H0_1	2	109.9146	23.3349	0.3732
ABC_R2H0_10	2	18.8191	23.2399	0.3867
ABC_R2H0_10_A	2	23.2374	24.1910	0.3855
ABC_R2H0_10_B	2	23.1382	21.6289	0.3846
ABC_R2H0_10_C	2	14.3255	22.3078	0.3864
ABC_R2H0_10_D	2	14.5754	24.8319	0.3901
ABC_R2H0_11	2	8.6999	24.0653	0.4039
ABC_R2H0_11_A	2	13.1372	24.9508	0.3948
ABC_R2H0_11_B	2	12.9824	22.3694	0.3941
ABC_R2H0_11_C	2	4.1891	23.1971	0.4125
ABC_R2H0_11_D	2	4.4910	25.7442	0.4142
ABC_R2H0_1_A	2	114.1395	24.9385	0.3716
ABC_R2H0_1_B	2	114.3989	22.3795	0.3684
ABC_R2H0_1_C	2	105.6022	21.7484	0.3766
ABC_R2H0_1_D	2	105.5179	24.2733	0.3764
ABC_R2H0_2	2	99.8194	22.6601	0.3775
ABC_R2H0_2_A	2	104.0671	24.1917	0.3769
ABC_R2H0_2_B	2	104.2844	21.6189	0.3763
ABC_R2H0_2_C	2	95.4778	21.1319	0.3785
ABC_R2H0_2_D	2	95.4483	23.6978	0.3783
ABC_R2H0_3	2	89.7180	22.1640	0.3807
ABC_R2H0_3_A	2	93.9825	23.6113	0.3818
ABC_R2H0_3_B	2	94.1787	21.0737	0.3775
ABC_R2H0_3_C	2	85.3537	20.7015	0.3800
ABC_R2H0_3_D	2	85.3572	23.2695	0.3836
ABC_R2H0_4	2	79.5938	21.8099	0.3798
ABC_R2H0_4_A	2	83.8969	23.2057	0.3825
ABC_R2H0_4_B	2	84.0251	20.6051	0.3812
ABC_R2H0_4_C	2	75.2040	20.4314	0.3771
ABC_R2H0_4_D	2	75.2494	22.9975	0.3785
ABC_R2H0_5	2	69.4661	21.6216	0.3796
ABC_R2H0_5_A	2	73.7815	22.9428	0.3790
