#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: newscript
Date: 2022-09-09T06:38:47.807783Z
Institute: TRIUMF
Operator: a
Instrument Type: Mitutoyo CMM
Run Number: 3
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2004	23.2152
H_R2H0_P2	124.2125	25.8691
PB_P1	81.8900	10.5145
PB_P2	122.3772	1.0968
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2087	29.7329	0.0008
Sensor	1	119.7503	29.8594	-0.0008
Sensor	1	0.2937	0.1594	-0.0007
Sensor	1	127.2917	0.1760	0.0007
ABC_R2H0_0	2	124.2039	25.8645	0.3567
ABC_R2H0_1	2	114.1391	24.9387	0.3727
ABC_R2H0_2	2	104.0671	24.1915	0.3787
ABC_R2H0_3	2	93.9821	23.6119	0.3823
ABC_R2H0_4	2	83.8971	23.2057	0.3808
ABC_R2H0_5	2	73.7813	22.9425	0.3791
ABC_R2H0_6	2	63.6840	22.8710	0.3798
ABC_R2H0_7	2	53.5612	22.9476	0.3839
ABC_R2H0_8	2	43.4545	23.1919	0.3870
ABC_R2H0_9	2	33.3499	23.6107	0.3810
ABC_R2H0_10	2	23.2381	24.1916	0.3823
ABC_R2H0_11	2	13.1370	24.9513	0.3943
HCC_R2H0_2	2	25.4800	9.4182	0.3586
HCC_R2H0_3	2	15.0950	13.9985	0.3692
H_R2H0_0	2	2.5369	8.2779	0.3613
H_R2H0_1	2	83.8908	12.6400	0.4110
H_R2H0_2	2	115.1743	16.1898	0.3779
PB_1	2	123.5935	1.4314	0.4313
PB_2	2	109.6847	11.8190	0.2413
PB_3	2	83.2125	10.1790	0.4405
PB_4	2	86.9722	3.9491	0.4827
PB_5	2	60.2919	2.8839	0.4561
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1089	5.7795	2.8406
C2	4	117.8785	9.2520	2.7875
C3	4	104.0005	10.0105	2.8476
C4	4	104.4872	1.4803	2.9148
Shield	4	63.1650	-1.4211	5.5969
Shield	4	68.5385	-0.9561	5.5504
Shield	4	76.5584	-0.8374	5.6290
Shield	4	63.0872	5.5411	5.5425
Shield	4	72.1013	5.7239	5.3856
Shield	4	76.5987	5.2790	5.4960
