#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: r2run3zeroedsensorpts
Date: 2022-09-08T23:04:06.530940Z
Institute: SFU
Operator: ar
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2063	23.2105
H_R2H0_P2	124.2152	25.8646
PB_P1	81.8934	10.5102
PB_P2	122.3796	1.0920
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2166	29.7295	-0.0000
Sensor	1	19.2307	28.9135	-0.0000
Sensor	1	29.0993	28.2736	-0.0000
Sensor	1	39.2853	27.7739	-0.0000
Sensor	1	49.3237	27.4479	-0.0000
Sensor	1	59.3586	27.3025	-0.0000
Sensor	1	69.3888	27.2969	-0.0000
Sensor	1	79.4182	27.4715	-0.0000
Sensor	1	89.5946	27.8188	-0.0000
Sensor	1	99.6052	28.3206	-0.0000
Sensor	1	109.6024	29.0122	-0.0000
Sensor	1	119.7402	29.8495	-0.0000
ABC_R2H0_0	2	120.0056	24.1917	0.3651
ABC_R2H0_0_A	2	124.2025	25.8637	0.3587
ABC_R2H0_0_B	2	124.5285	23.3157	0.3616
ABC_R2H0_0_C	2	115.7163	22.5400	0.3678
ABC_R2H0_0_D	2	115.5749	25.0475	0.3724
ABC_R2H0_1	2	109.9136	23.3336	0.3741
ABC_R2H0_10	2	18.8180	23.2392	0.3888
ABC_R2H0_10_A	2	23.2362	24.1902	0.3869
ABC_R2H0_10_B	2	23.1369	21.6282	0.3881
ABC_R2H0_10_C	2	14.3247	22.3063	0.3897
ABC_R2H0_10_D	2	14.5744	24.8322	0.3904
ABC_R2H0_11	2	8.6999	24.0642	0.4041
ABC_R2H0_11_A	2	13.1365	24.9499	0.3958
ABC_R2H0_11_B	2	12.9820	22.3663	0.3943
ABC_R2H0_11_C	2	4.1898	23.1967	0.4121
ABC_R2H0_11_D	2	4.4912	25.7438	0.4141
ABC_R2H0_1_A	2	114.1374	24.9373	0.3721
ABC_R2H0_1_B	2	114.3980	22.3787	0.3718
ABC_R2H0_1_C	2	105.6013	21.7463	0.3768
ABC_R2H0_1_D	2	105.5178	24.2723	0.3756
ABC_R2H0_2	2	99.8189	22.6595	0.3778
ABC_R2H0_2_A	2	104.0667	24.1911	0.3771
ABC_R2H0_2_B	2	104.2835	21.6175	0.3764
ABC_R2H0_2_C	2	95.4772	21.1298	0.3781
ABC_R2H0_2_D	2	95.4481	23.6996	0.3796
ABC_R2H0_3	2	89.7173	22.1627	0.3822
ABC_R2H0_3_A	2	93.9814	23.6103	0.3820
ABC_R2H0_3_B	2	94.1782	21.0721	0.3803
ABC_R2H0_3_C	2	85.3532	20.7007	0.3805
ABC_R2H0_3_D	2	85.3565	23.2678	0.3861
ABC_R2H0_4	2	79.5927	21.8087	0.3805
ABC_R2H0_4_A	2	83.8959	23.2044	0.3833
