#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: tri
Date: 2022-09-07T23:09:53.396348Z
Institute: TRIUMF
Operator: a
Instrument Type: Mitutoyo CMM
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2066	23.2101
H_R2H0_P2	124.2151	25.8642
PB_P1	81.8924	10.5100
PB_P2	122.3798	1.0918
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2171	29.7355	-0.0006
Sensor	1	19.2308	28.9140	-0.0009
Sensor	1	29.0989	28.2732	0.0008
Sensor	1	39.2854	27.7728	0.0025
Sensor	1	49.3249	27.4474	0.0010
Sensor	1	59.3589	27.3007	-0.0010
Sensor	1	69.3894	27.2969	-0.0032
Sensor	1	79.4186	27.4717	-0.0017
Sensor	1	89.5945	27.8189	0.0023
Sensor	1	99.6047	28.3189	0.0015
Sensor	1	109.6028	29.0126	-0.0003
Sensor	1	119.7401	29.8506	-0.0005
ABC_R2H0_0	2	124.1977	25.8633	0.3463
ABC_R2H0_1	2	114.1325	24.9373	0.3580
ABC_R2H0_10	2	23.2303	24.1910	0.3710
ABC_R2H0_11	2	13.1310	24.9508	0.3825
ABC_R2H0_2	2	104.0614	24.1907	0.3619
ABC_R2H0_3	2	93.9772	23.6110	0.3630
ABC_R2H0_4	2	83.8910	23.2048	0.3645
ABC_R2H0_5	2	73.7743	22.9423	0.3612
ABC_R2H0_6	2	63.6771	22.8709	0.3616
ABC_R2H0_7	2	53.5555	22.9472	0.3666
ABC_R2H0_8	2	43.4492	23.1904	0.3717
ABC_R2H0_9	2	33.3437	23.6102	0.3688
HCC_R2H0_2	2	25.4726	9.4187	0.3105
HCC_R2H0_3	2	15.0892	13.9971	0.3302
H_R2H0_0	2	2.5319	8.2779	0.3053
H_R2H0_1	2	83.8837	12.6383	0.3663
H_R2H0_2	2	115.1662	16.1873	0.3441
PB_1	2	123.5943	1.4306	0.3508
PB_2	2	109.6874	11.8189	0.1915
PB_3	2	83.2126	10.1824	0.3927
PB_4	2	86.9738	3.9530	0.4109
PB_5	2	60.2928	2.8870	0.4040
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1101	5.7789	2.7718
C2	4	117.8791	9.2509	2.7317
C3	4	104.0020	10.0110	2.7931
C4	4	104.4881	1.4795	2.8380
Shield	4	63.1648	-1.4187	5.5124
