#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: x
Date: 2022-08-04T05:19:28.134821Z
Institute: SFU
Operator: x
Instrument Type: Smartscope Flash 302
Run Number: 4
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2033	23.2162
H_R2H0_P2	124.2136	25.8701
PB_P1	81.8918	10.5154
PB_P2	122.3765	1.0977
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1217	28.8744	0.0012
Sensor	1	19.1589	28.0525	-0.0006
Sensor	1	29.1203	27.4087	-0.0006
Sensor	1	39.2448	26.9122	-0.0017
Sensor	1	49.2948	26.5904	0.0013
Sensor	1	59.3463	26.4343	0.0001
Sensor	1	69.3884	26.4477	-0.0005
Sensor	1	79.4384	26.6218	-0.0004
Sensor	1	89.4694	26.9652	0.0018
Sensor	1	99.5744	27.4648	0.0003
Sensor	1	109.5841	28.1421	-0.0007
Sensor	1	119.6587	28.9727	-0.0003
ABC_R2H0_0	2	120.0048	24.1927	0.3891
ABC_R2H0_0_A	2	124.2081	25.8592	0.3792
ABC_R2H0_0_B	2	124.5033	23.3271	0.3914
ABC_R2H0_0_C	2	115.7246	22.5371	0.4014
ABC_R2H0_0_D	2	115.5831	25.0475	0.3844
ABC_R2H0_1	2	109.9227	23.3328	0.3937
ABC_R2H0_10	2	18.8261	23.2493	0.4151
ABC_R2H0_10_A	2	23.2446	24.2000	0.4159
ABC_R2H0_10_B	2	23.1453	21.6377	0.4190
ABC_R2H0_10_C	2	14.3319	22.3170	0.4162
ABC_R2H0_10_D	2	14.5828	24.8427	0.4092
ABC_R2H0_11	2	8.7085	24.0729	0.4339
ABC_R2H0_11_A	2	13.1441	24.9606	0.4305
ABC_R2H0_11_B	2	12.9906	22.3686	0.4307
ABC_R2H0_11_C	2	4.1924	23.2085	0.4404
ABC_R2H0_11_D	2	4.5069	25.7538	0.4340
ABC_R2H0_1_A	2	114.1474	24.9355	0.3955
ABC_R2H0_1_B	2	114.4060	22.3760	0.3922
ABC_R2H0_1_C	2	105.6101	21.7469	0.3965
ABC_R2H0_1_D	2	105.5272	24.2726	0.3907
ABC_R2H0_2	2	99.8273	22.6592	0.3972
ABC_R2H0_2_A	2	104.0747	24.1902	0.3934
ABC_R2H0_2_B	2	104.2918	21.6149	0.3980
ABC_R2H0_2_C	2	95.4858	21.1323	0.3975
ABC_R2H0_2_D	2	95.4570	23.6993	0.3998
ABC_R2H0_3	2	89.7245	22.1649	0.4023
ABC_R2H0_3_A	2	93.9899	23.6119	0.4067
ABC_R2H0_3_B	2	94.1866	21.0744	0.4042
ABC_R2H0_3_C	2	85.3572	20.7031	0.4012
ABC_R2H0_3_D	2	85.3644	23.2701	0.3970
ABC_R2H0_4	2	79.6001	21.8115	0.4029
ABC_R2H0_4_A	2	83.9030	23.2067	0.3944
ABC_R2H0_4_B	2	84.0313	20.6058	0.4089
ABC_R2H0_4_C	2	75.2088	20.4325	0.4080
ABC_R2H0_4_D	2	75.2575	23.0008	0.4005
ABC_R2H0_5	2	69.4726	21.6246	0.3978
ABC_R2H0_5_A	2	73.7873	22.9448	0.4016
ABC_R2H0_5_B	2	73.8964	20.3659	0.3978
ABC_R2H0_5_C	2	65.0657	20.3226	0.4003
ABC_R2H0_5_D	2	65.1410	22.8649	0.3915
ABC_R2H0_6	2	59.3484	21.6274	0.4036
ABC_R2H0_6_A	2	63.6899	22.8751	0.3971
ABC_R2H0_6_B	2	63.7478	20.2982	0.4026
ABC_R2H0_6_C	2	54.9179	20.3958	0.4133
ABC_R2H0_6_D	2	55.0380	22.9406	0.4016
ABC_R2H0_7	2	49.2124	21.7722	0.4032
ABC_R2H0_7_A	2	53.5682	22.9523	0.4109
ABC_R2H0_7_B	2	53.5851	20.3566	0.4086
ABC_R2H0_7_C	2	44.7612	20.6200	0.3974
ABC_R2H0_7_D	2	44.9351	23.1599	0.3958
ABC_R2H0_8	2	39.0812	22.0961	0.4094
ABC_R2H0_8_A	2	43.4614	23.1977	0.4110
ABC_R2H0_8_B	2	43.4331	20.6193	0.4110
ABC_R2H0_8_C	2	34.6131	21.0187	0.4125
ABC_R2H0_8_D	2	34.8171	23.5485	0.4031
ABC_R2H0_9	2	28.9576	22.5875	0.4103
ABC_R2H0_9_A	2	33.3564	23.6171	0.4032
ABC_R2H0_9_B	2	33.2760	21.0516	0.4020
ABC_R2H0_9_C	2	24.4744	21.5757	0.4203
ABC_R2H0_9_D	2	24.7234	24.1056	0.4159
HCC_R2H0_2	2	22.6106	7.0095	0.4255
HCC_R2H0_2_A	2	25.3958	9.4230	0.4156
HCC_R2H0_2_B	2	25.6953	4.8026	0.4196
HCC_R2H0_2_C	2	19.7269	4.6675	0.4362
HCC_R2H0_2_D	2	19.6243	9.1451	0.4305
HCC_R2H0_3	2	12.2292	11.6108	0.4317
HCC_R2H0_3_A	2	15.0243	14.0131	0.4260
HCC_R2H0_3_B	2	15.3157	9.4089	0.4338
HCC_R2H0_3_C	2	9.3296	9.2739	0.4323
HCC_R2H0_3_D	2	9.2473	13.7472	0.4347
H_R2H0_0	2	2.8971	10.6313	0.4189
H_R2H0_0_A	2	2.6179	8.2817	0.4285
H_R2H0_0_B	2	2.8561	9.7600	0.4262
H_R2H0_0_C	2	2.9340	10.9979	0.4149
H_R2H0_0_D	2	3.1803	13.4855	0.4061
H_R2H0_1	2	87.5181	12.8017	0.4587
H_R2H0_1_A	2	83.8976	12.6395	0.4523
H_R2H0_1_B	2	87.1367	12.7884	0.4672
H_R2H0_1_C	2	87.9135	12.8163	0.4572
H_R2H0_1_D	2	91.1246	12.9626	0.4581
H_R2H0_2	2	117.8024	16.3683	0.4191
H_R2H0_2_A	2	115.0141	15.9730	0.4282
H_R2H0_2_B	2	115.6204	16.7300	0.4145
H_R2H0_2_C	2	119.9844	16.0027	0.4130
H_R2H0_2_D	2	120.5908	16.7675	0.4206
PB_1	2	123.4648	5.6852	0.4280
PB_1_A	2	123.5916	1.4453	0.5079
